score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.603200,45.847900,10320.000000,1,0,64,1,Cho2017,TS+EL
0.595300,44.654293,10320.000000,2,0,64,1,Cho2017,TS+EL
0.877200,43.557285,10320.000000,3,0,64,1,Cho2017,TS+EL
0.780900,44.293800,10320.000000,4,0,64,1,Cho2017,TS+EL
0.658000,43.700661,10320.000000,5,0,64,1,Cho2017,TS+EL
0.627900,44.217915,10320.000000,6,0,64,1,Cho2017,TS+EL
0.495069,44.181637,10280.000000,7,0,64,1,Cho2017,TS+EL
0.554400,44.759457,10320.000000,8,0,64,1,Cho2017,TS+EL
0.671389,43.303768,10280.000000,9,0,64,1,Cho2017,TS+EL
0.814000,44.168674,10320.000000,10,0,64,1,Cho2017,TS+EL
0.644600,43.984879,10320.000000,11,0,64,1,Cho2017,TS+EL
0.763900,43.963924,10320.000000,12,0,64,1,Cho2017,TS+EL
0.590700,43.409271,10320.000000,13,0,64,1,Cho2017,TS+EL
0.913200,44.143990,10320.000000,14,0,64,1,Cho2017,TS+EL
0.656300,45.345100,10320.000000,15,0,64,1,Cho2017,TS+EL
0.584700,44.936249,10320.000000,16,0,64,1,Cho2017,TS+EL
0.461300,44.159218,10320.000000,17,0,64,1,Cho2017,TS+EL
0.704400,45.178703,10320.000000,18,0,64,1,Cho2017,TS+EL
0.752200,44.303940,10320.000000,19,0,64,1,Cho2017,TS+EL
0.649000,44.463928,10320.000000,20,0,64,1,Cho2017,TS+EL
0.782400,43.222267,10320.000000,21,0,64,1,Cho2017,TS+EL
0.683700,43.853069,10320.000000,22,0,64,1,Cho2017,TS+EL
0.844000,43.557678,10320.000000,23,0,64,1,Cho2017,TS+EL
0.697000,44.375965,10320.000000,24,0,64,1,Cho2017,TS+EL
0.644400,43.558617,10320.000000,25,0,64,1,Cho2017,TS+EL
0.621500,43.897346,10320.000000,26,0,64,1,Cho2017,TS+EL
0.704400,43.827976,10320.000000,27,0,64,1,Cho2017,TS+EL
0.555700,44.480904,10320.000000,28,0,64,1,Cho2017,TS+EL
0.582500,43.876175,10320.000000,29,0,64,1,Cho2017,TS+EL
0.674800,43.691235,10320.000000,30,0,64,1,Cho2017,TS+EL
0.627500,44.517834,10320.000000,31,0,64,1,Cho2017,TS+EL
0.543300,43.865440,10320.000000,32,0,64,1,Cho2017,TS+EL
0.553100,44.652592,10320.000000,33,0,64,1,Cho2017,TS+EL
0.541200,44.707489,10320.000000,34,0,64,1,Cho2017,TS+EL
0.506800,45.289692,10320.000000,35,0,64,1,Cho2017,TS+EL
0.752200,43.452511,10320.000000,36,0,64,1,Cho2017,TS+EL
0.523900,44.442730,10320.000000,37,0,64,1,Cho2017,TS+EL
0.545500,44.207813,10320.000000,38,0,64,1,Cho2017,TS+EL
0.743900,43.340256,10320.000000,39,0,64,1,Cho2017,TS+EL
0.642900,43.778458,10320.000000,40,0,64,1,Cho2017,TS+EL
0.904300,43.902275,10320.000000,41,0,64,1,Cho2017,TS+EL
0.614000,44.097340,10320.000000,42,0,64,1,Cho2017,TS+EL
0.981000,44.665783,10320.000000,43,0,64,1,Cho2017,TS+EL
0.734100,43.988087,10320.000000,44,0,64,1,Cho2017,TS+EL
0.673100,45.385578,10320.000000,45,0,64,1,Cho2017,TS+EL
0.707917,43.880890,10280.000000,46,0,64,1,Cho2017,TS+EL
0.675600,43.884224,10320.000000,47,0,64,1,Cho2017,TS+EL
0.864400,43.979969,10320.000000,48,0,64,1,Cho2017,TS+EL
0.676900,44.294910,10320.000000,49,0,64,1,Cho2017,TS+EL
0.680700,44.086636,10320.000000,50,0,64,1,Cho2017,TS+EL
0.647800,44.566383,10320.000000,51,0,64,1,Cho2017,TS+EL
0.748600,43.724197,10320.000000,52,0,64,1,Cho2017,TS+EL
