score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.636500,269.476013,10320.000000,1,0,64,1,Cho2017,EEGNet_8_2
0.636900,271.765961,10320.000000,2,0,64,1,Cho2017,EEGNet_8_2
0.979600,248.953598,10320.000000,3,0,64,1,Cho2017,EEGNet_8_2
0.967000,258.975067,10320.000000,4,0,64,1,Cho2017,EEGNet_8_2
0.820100,234.931305,10320.000000,5,0,64,1,Cho2017,EEGNet_8_2
0.691400,330.816528,10320.000000,6,0,64,1,Cho2017,EEGNet_8_2
0.675000,344.164795,10280.000000,7,0,64,1,Cho2017,EEGNet_8_2
0.603200,380.403534,10320.000000,8,0,64,1,Cho2017,EEGNet_8_2
0.831181,394.184906,10280.000000,9,0,64,1,Cho2017,EEGNet_8_2
0.941200,315.115051,10320.000000,10,0,64,1,Cho2017,EEGNet_8_2
0.689000,242.801468,10320.000000,11,0,64,1,Cho2017,EEGNet_8_2
0.720600,240.533371,10320.000000,12,0,64,1,Cho2017,EEGNet_8_2
0.566100,238.372284,10320.000000,13,0,64,1,Cho2017,EEGNet_8_2
0.961200,238.363724,10320.000000,14,0,64,1,Cho2017,EEGNet_8_2
0.828300,236.685257,10320.000000,15,0,64,1,Cho2017,EEGNet_8_2
0.632400,332.209869,10320.000000,16,0,64,1,Cho2017,EEGNet_8_2
0.441900,390.503326,10320.000000,17,0,64,1,Cho2017,EEGNet_8_2
0.768700,259.248871,10320.000000,18,0,64,1,Cho2017,EEGNet_8_2
0.639600,294.531921,10320.000000,19,0,64,1,Cho2017,EEGNet_8_2
0.736000,263.579346,10320.000000,20,0,64,1,Cho2017,EEGNet_8_2
0.878800,261.281891,10320.000000,21,0,64,1,Cho2017,EEGNet_8_2
0.850800,392.944214,10320.000000,22,0,64,1,Cho2017,EEGNet_8_2
0.900700,263.573120,10320.000000,23,0,64,1,Cho2017,EEGNet_8_2
0.790700,209.788284,10320.000000,24,0,64,1,Cho2017,EEGNet_8_2
0.832100,296.125061,10320.000000,25,0,64,1,Cho2017,EEGNet_8_2
0.863800,215.817535,10320.000000,26,0,64,1,Cho2017,EEGNet_8_2
0.493300,242.704697,10320.000000,27,0,64,1,Cho2017,EEGNet_8_2
0.514400,179.001266,10320.000000,28,0,64,1,Cho2017,EEGNet_8_2
0.533000,227.978500,10320.000000,29,0,64,1,Cho2017,EEGNet_8_2
0.707300,211.004501,10320.000000,30,0,64,1,Cho2017,EEGNet_8_2
0.677600,417.535706,10320.000000,31,0,64,1,Cho2017,EEGNet_8_2
0.489700,201.543167,10320.000000,32,0,64,1,Cho2017,EEGNet_8_2
0.662100,230.507767,10320.000000,33,0,64,1,Cho2017,EEGNet_8_2
0.545400,246.968384,10320.000000,34,0,64,1,Cho2017,EEGNet_8_2
0.622500,191.411484,10320.000000,35,0,64,1,Cho2017,EEGNet_8_2
0.763800,201.583878,10320.000000,36,0,64,1,Cho2017,EEGNet_8_2
0.441900,201.493958,10320.000000,37,0,64,1,Cho2017,EEGNet_8_2
0.652800,233.881348,10320.000000,38,0,64,1,Cho2017,EEGNet_8_2
0.717100,252.908737,10320.000000,39,0,64,1,Cho2017,EEGNet_8_2
0.505000,189.007050,10320.000000,40,0,64,1,Cho2017,EEGNet_8_2
0.989300,195.472015,10320.000000,41,0,64,1,Cho2017,EEGNet_8_2
0.796200,191.687424,10320.000000,42,0,64,1,Cho2017,EEGNet_8_2
0.996900,255.878647,10320.000000,43,0,64,1,Cho2017,EEGNet_8_2
0.853000,195.999390,10320.000000,44,0,64,1,Cho2017,EEGNet_8_2
0.749800,220.359665,10320.000000,45,0,64,1,Cho2017,EEGNet_8_2
0.785069,349.301453,10280.000000,46,0,64,1,Cho2017,EEGNet_8_2
0.710900,197.697830,10320.000000,47,0,64,1,Cho2017,EEGNet_8_2
0.994200,230.771286,10320.000000,48,0,64,1,Cho2017,EEGNet_8_2
0.659900,195.663376,10320.000000,49,0,64,1,Cho2017,EEGNet_8_2
0.675400,201.493408,10320.000000,50,0,64,1,Cho2017,EEGNet_8_2
0.709300,196.098923,10320.000000,51,0,64,1,Cho2017,EEGNet_8_2
0.738300,216.704269,10320.000000,52,0,64,1,Cho2017,EEGNet_8_2
