score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.646800,463.029572,10320.000000,1,0,64,1,Cho2017,ShallowConvNet
0.551200,440.373840,10320.000000,2,0,64,1,Cho2017,ShallowConvNet
0.976700,435.283966,10320.000000,3,0,64,1,Cho2017,ShallowConvNet
0.913700,440.015930,10320.000000,4,0,64,1,Cho2017,ShallowConvNet
0.801700,426.978149,10320.000000,5,0,64,1,Cho2017,ShallowConvNet
0.745300,448.357269,10320.000000,6,0,64,1,Cho2017,ShallowConvNet
0.648264,412.097015,10280.000000,7,0,64,1,Cho2017,ShallowConvNet
0.616200,436.928772,10320.000000,8,0,64,1,Cho2017,ShallowConvNet
0.704375,468.143677,10280.000000,9,0,64,1,Cho2017,ShallowConvNet
0.865200,444.625488,10320.000000,10,0,64,1,Cho2017,ShallowConvNet
0.601800,463.517303,10320.000000,11,0,64,1,Cho2017,ShallowConvNet
0.687900,435.371704,10320.000000,12,0,64,1,Cho2017,ShallowConvNet
0.859500,441.709076,10320.000000,13,0,64,1,Cho2017,ShallowConvNet
0.957100,434.570587,10320.000000,14,0,64,1,Cho2017,ShallowConvNet
0.701500,441.184814,10320.000000,15,0,64,1,Cho2017,ShallowConvNet
0.618600,465.448944,10320.000000,16,0,64,1,Cho2017,ShallowConvNet
0.541500,463.985260,10320.000000,17,0,64,1,Cho2017,ShallowConvNet
0.694600,437.632782,10320.000000,18,0,64,1,Cho2017,ShallowConvNet
0.607600,445.438293,10320.000000,19,0,64,1,Cho2017,ShallowConvNet
0.736500,444.087677,10320.000000,20,0,64,1,Cho2017,ShallowConvNet
0.746100,466.267761,10320.000000,21,0,64,1,Cho2017,ShallowConvNet
0.778700,437.817505,10320.000000,22,0,64,1,Cho2017,ShallowConvNet
0.827300,408.716492,10320.000000,23,0,64,1,Cho2017,ShallowConvNet
0.808300,446.781158,10320.000000,24,0,64,1,Cho2017,ShallowConvNet
0.779300,423.007812,10320.000000,25,0,64,1,Cho2017,ShallowConvNet
0.787200,445.020538,10320.000000,26,0,64,1,Cho2017,ShallowConvNet
0.668100,448.238525,10320.000000,27,0,64,1,Cho2017,ShallowConvNet
0.532100,447.803772,10320.000000,28,0,64,1,Cho2017,ShallowConvNet
0.604700,461.417969,10320.000000,29,0,64,1,Cho2017,ShallowConvNet
0.696500,446.597168,10320.000000,30,0,64,1,Cho2017,ShallowConvNet
0.645800,434.411835,10320.000000,31,0,64,1,Cho2017,ShallowConvNet
0.506200,466.883362,10320.000000,32,0,64,1,Cho2017,ShallowConvNet
0.685000,464.462372,10320.000000,33,0,64,1,Cho2017,ShallowConvNet
0.537900,477.783997,10320.000000,34,0,64,1,Cho2017,ShallowConvNet
0.652600,419.642761,10320.000000,35,0,64,1,Cho2017,ShallowConvNet
0.828350,449.263672,10320.000000,36,0,64,1,Cho2017,ShallowConvNet
0.668600,431.141846,10320.000000,37,0,64,1,Cho2017,ShallowConvNet
0.616500,447.786987,10320.000000,38,0,64,1,Cho2017,ShallowConvNet
0.721700,437.798676,10320.000000,39,0,64,1,Cho2017,ShallowConvNet
0.596300,453.546570,10320.000000,40,0,64,1,Cho2017,ShallowConvNet
0.910000,467.187744,10320.000000,41,0,64,1,Cho2017,ShallowConvNet
0.776600,487.822540,10320.000000,42,0,64,1,Cho2017,ShallowConvNet
0.988100,463.243744,10320.000000,43,0,64,1,Cho2017,ShallowConvNet
0.804700,443.770569,10320.000000,44,0,64,1,Cho2017,ShallowConvNet
0.624200,459.214691,10320.000000,45,0,64,1,Cho2017,ShallowConvNet
0.633611,427.680298,10280.000000,46,0,64,1,Cho2017,ShallowConvNet
0.734000,427.050476,10320.000000,47,0,64,1,Cho2017,ShallowConvNet
0.962200,419.970215,10320.000000,48,0,64,1,Cho2017,ShallowConvNet
0.679100,459.494629,10320.000000,49,0,64,1,Cho2017,ShallowConvNet
0.679300,438.065094,10320.000000,50,0,64,1,Cho2017,ShallowConvNet
0.692800,453.513428,10320.000000,51,0,64,1,Cho2017,ShallowConvNet
0.765800,427.852692,10320.000000,52,0,64,1,Cho2017,ShallowConvNet
