score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.713000,283.005707,10320.000000,1,0,64,1,Cho2017,DeepConvNet
0.603800,258.397095,10320.000000,2,0,64,1,Cho2017,DeepConvNet
0.988800,259.242126,10320.000000,3,0,64,1,Cho2017,DeepConvNet
0.956900,260.602814,10320.000000,4,0,64,1,Cho2017,DeepConvNet
0.747000,278.586090,10320.000000,5,0,64,1,Cho2017,DeepConvNet
0.751900,235.907089,10320.000000,6,0,64,1,Cho2017,DeepConvNet
0.694097,238.689606,10280.000000,7,0,64,1,Cho2017,DeepConvNet
0.664200,261.151520,10320.000000,8,0,64,1,Cho2017,DeepConvNet
0.819236,252.380600,10280.000000,9,0,64,1,Cho2017,DeepConvNet
0.907300,248.528900,10320.000000,10,0,64,1,Cho2017,DeepConvNet
0.681900,284.936737,10320.000000,11,0,64,1,Cho2017,DeepConvNet
0.702800,276.673248,10320.000000,12,0,64,1,Cho2017,DeepConvNet
0.657400,244.423798,10320.000000,13,0,64,1,Cho2017,DeepConvNet
0.984100,256.176300,10320.000000,14,0,64,1,Cho2017,DeepConvNet
0.815900,250.805832,10320.000000,15,0,64,1,Cho2017,DeepConvNet
0.700000,286.305450,10320.000000,16,0,64,1,Cho2017,DeepConvNet
0.507000,284.040771,10320.000000,17,0,64,1,Cho2017,DeepConvNet
0.786100,291.581421,10320.000000,18,0,64,1,Cho2017,DeepConvNet
0.681700,243.249054,10320.000000,19,0,64,1,Cho2017,DeepConvNet
0.720900,261.010376,10320.000000,20,0,64,1,Cho2017,DeepConvNet
0.766100,268.277222,10320.000000,21,0,64,1,Cho2017,DeepConvNet
0.853200,238.682205,10320.000000,22,0,64,1,Cho2017,DeepConvNet
0.891100,263.942017,10320.000000,23,0,64,1,Cho2017,DeepConvNet
0.823300,242.765747,10320.000000,24,0,64,1,Cho2017,DeepConvNet
0.811100,263.834900,10320.000000,25,0,64,1,Cho2017,DeepConvNet
0.802300,234.375351,10320.000000,26,0,64,1,Cho2017,DeepConvNet
0.539600,277.854980,10320.000000,27,0,64,1,Cho2017,DeepConvNet
0.558500,257.190430,10320.000000,28,0,64,1,Cho2017,DeepConvNet
0.662300,236.197311,10320.000000,29,0,64,1,Cho2017,DeepConvNet
0.751700,239.861740,10320.000000,30,0,64,1,Cho2017,DeepConvNet
0.761200,237.300201,10320.000000,31,0,64,1,Cho2017,DeepConvNet
0.523200,265.463562,10320.000000,32,0,64,1,Cho2017,DeepConvNet
0.668200,254.216461,10320.000000,33,0,64,1,Cho2017,DeepConvNet
0.517900,250.847702,10320.000000,34,0,64,1,Cho2017,DeepConvNet
0.613300,215.404327,10320.000000,35,0,64,1,Cho2017,DeepConvNet
0.792500,283.448029,10320.000000,36,0,64,1,Cho2017,DeepConvNet
0.587200,216.188934,10320.000000,37,0,64,1,Cho2017,DeepConvNet
0.664700,218.329666,10320.000000,38,0,64,1,Cho2017,DeepConvNet
0.731400,273.727234,10320.000000,39,0,64,1,Cho2017,DeepConvNet
0.559800,254.033539,10320.000000,40,0,64,1,Cho2017,DeepConvNet
0.975400,255.870773,10320.000000,41,0,64,1,Cho2017,DeepConvNet
0.735100,279.007507,10320.000000,42,0,64,1,Cho2017,DeepConvNet
0.991400,232.161346,10320.000000,43,0,64,1,Cho2017,DeepConvNet
0.815900,252.998505,10320.000000,44,0,64,1,Cho2017,DeepConvNet
0.767700,228.263275,10320.000000,45,0,64,1,Cho2017,DeepConvNet
0.739861,247.374298,10280.000000,46,0,64,1,Cho2017,DeepConvNet
0.734100,224.369415,10320.000000,47,0,64,1,Cho2017,DeepConvNet
0.967400,235.778137,10320.000000,48,0,64,1,Cho2017,DeepConvNet
0.692800,251.595657,10320.000000,49,0,64,1,Cho2017,DeepConvNet
0.643500,268.821716,10320.000000,50,0,64,1,Cho2017,DeepConvNet
0.682100,242.730133,10320.000000,51,0,64,1,Cho2017,DeepConvNet
0.775000,287.351776,10320.000000,52,0,64,1,Cho2017,DeepConvNet
