score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.901000,0.849836,200.000000,1,0,64,1,Cho2017,TS+EL
0.614500,1.437556,200.000000,2,0,64,1,Cho2017,TS+EL
0.957000,0.813087,200.000000,3,0,64,1,Cho2017,TS+EL
0.836000,0.947842,200.000000,4,0,64,1,Cho2017,TS+EL
0.800500,0.804380,200.000000,5,0,64,1,Cho2017,TS+EL
0.923000,0.755380,200.000000,6,0,64,1,Cho2017,TS+EL
0.487153,1.480365,240.000000,7,0,64,1,Cho2017,TS+EL
0.622000,1.001397,200.000000,8,0,64,1,Cho2017,TS+EL
0.703819,1.160882,240.000000,9,0,64,1,Cho2017,TS+EL
0.881000,1.141560,200.000000,10,0,64,1,Cho2017,TS+EL
0.708500,0.841008,200.000000,11,0,64,1,Cho2017,TS+EL
0.847500,0.998335,200.000000,12,0,64,1,Cho2017,TS+EL
0.850000,0.848048,200.000000,13,0,64,1,Cho2017,TS+EL
0.995500,0.696910,200.000000,14,0,64,1,Cho2017,TS+EL
0.809000,0.920306,200.000000,15,0,64,1,Cho2017,TS+EL
0.537000,1.466883,200.000000,16,0,64,1,Cho2017,TS+EL
0.515500,1.166413,200.000000,17,0,64,1,Cho2017,TS+EL
0.606500,0.897450,200.000000,18,0,64,1,Cho2017,TS+EL
0.715000,0.991058,200.000000,19,0,64,1,Cho2017,TS+EL
0.811000,1.060607,200.000000,20,0,64,1,Cho2017,TS+EL
0.786000,0.919772,200.000000,21,0,64,1,Cho2017,TS+EL
0.610000,0.910423,200.000000,22,0,64,1,Cho2017,TS+EL
0.897500,0.861452,200.000000,23,0,64,1,Cho2017,TS+EL
0.760500,0.890502,200.000000,24,0,64,1,Cho2017,TS+EL
0.745000,0.981695,200.000000,25,0,64,1,Cho2017,TS+EL
0.853000,0.950044,200.000000,26,0,64,1,Cho2017,TS+EL
0.659500,0.868945,200.000000,27,0,64,1,Cho2017,TS+EL
0.726500,1.108067,200.000000,28,0,64,1,Cho2017,TS+EL
0.482500,1.354623,200.000000,29,0,64,1,Cho2017,TS+EL
0.703000,0.900889,200.000000,30,0,64,1,Cho2017,TS+EL
0.752000,1.069111,200.000000,31,0,64,1,Cho2017,TS+EL
0.589000,0.853728,200.000000,32,0,64,1,Cho2017,TS+EL
0.628500,0.788380,200.000000,33,0,64,1,Cho2017,TS+EL
0.537000,1.117646,200.000000,34,0,64,1,Cho2017,TS+EL
0.953500,0.824306,200.000000,35,0,64,1,Cho2017,TS+EL
0.742000,1.687239,200.000000,36,0,64,1,Cho2017,TS+EL
0.873000,0.836153,200.000000,37,0,64,1,Cho2017,TS+EL
0.598500,0.978102,200.000000,38,0,64,1,Cho2017,TS+EL
0.785500,0.946596,200.000000,39,0,64,1,Cho2017,TS+EL
0.546500,1.018459,200.000000,40,0,64,1,Cho2017,TS+EL
0.939000,0.826685,200.000000,41,0,64,1,Cho2017,TS+EL
0.616500,0.773397,200.000000,42,0,64,1,Cho2017,TS+EL
0.992500,0.978207,200.000000,43,0,64,1,Cho2017,TS+EL
0.893000,1.100644,200.000000,44,0,64,1,Cho2017,TS+EL
0.565000,1.326065,200.000000,45,0,64,1,Cho2017,TS+EL
0.900694,1.162748,240.000000,46,0,64,1,Cho2017,TS+EL
0.732000,1.473096,200.000000,47,0,64,1,Cho2017,TS+EL
0.899000,1.187200,200.000000,48,0,64,1,Cho2017,TS+EL
0.866500,0.851130,200.000000,49,0,64,1,Cho2017,TS+EL
0.976500,0.841407,200.000000,50,0,64,1,Cho2017,TS+EL
0.634500,1.158067,200.000000,51,0,64,1,Cho2017,TS+EL
0.829000,0.877130,200.000000,52,0,64,1,Cho2017,TS+EL
