score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.895000,6.066182,200.000000,1,0,64,1,Cho2017,EEGNet_8_2
0.452000,4.140206,200.000000,2,0,64,1,Cho2017,EEGNet_8_2
0.996500,6.098647,200.000000,3,0,64,1,Cho2017,EEGNet_8_2
0.875500,4.961335,200.000000,4,0,64,1,Cho2017,EEGNet_8_2
0.859500,2.819035,200.000000,5,0,64,1,Cho2017,EEGNet_8_2
0.830500,2.769151,200.000000,6,0,64,1,Cho2017,EEGNet_8_2
0.522222,2.710331,240.000000,7,0,64,1,Cho2017,EEGNet_8_2
0.566000,3.912910,200.000000,8,0,64,1,Cho2017,EEGNet_8_2
0.605556,4.152461,240.000000,9,0,64,1,Cho2017,EEGNet_8_2
0.809000,3.864630,200.000000,10,0,64,1,Cho2017,EEGNet_8_2
0.509500,2.578554,200.000000,11,0,64,1,Cho2017,EEGNet_8_2
0.736500,2.323025,200.000000,12,0,64,1,Cho2017,EEGNet_8_2
0.846000,5.838387,200.000000,13,0,64,1,Cho2017,EEGNet_8_2
0.995000,7.546285,200.000000,14,0,64,1,Cho2017,EEGNet_8_2
0.513000,3.437644,200.000000,15,0,64,1,Cho2017,EEGNet_8_2
0.527000,3.294049,200.000000,16,0,64,1,Cho2017,EEGNet_8_2
0.417500,2.325996,200.000000,17,0,64,1,Cho2017,EEGNet_8_2
0.677000,4.364115,200.000000,18,0,64,1,Cho2017,EEGNet_8_2
0.538000,2.482692,200.000000,19,0,64,1,Cho2017,EEGNet_8_2
0.804500,3.771345,200.000000,20,0,64,1,Cho2017,EEGNet_8_2
0.827000,4.668068,200.000000,21,0,64,1,Cho2017,EEGNet_8_2
0.650000,2.562343,200.000000,22,0,64,1,Cho2017,EEGNet_8_2
0.925000,4.937289,200.000000,23,0,64,1,Cho2017,EEGNet_8_2
0.704500,3.011871,200.000000,24,0,64,1,Cho2017,EEGNet_8_2
0.674000,4.927081,200.000000,25,0,64,1,Cho2017,EEGNet_8_2
0.770500,4.610292,200.000000,26,0,64,1,Cho2017,EEGNet_8_2
0.519000,3.675134,200.000000,27,0,64,1,Cho2017,EEGNet_8_2
0.584500,3.514146,200.000000,28,0,64,1,Cho2017,EEGNet_8_2
0.593000,3.928093,200.000000,29,0,64,1,Cho2017,EEGNet_8_2
0.574500,2.665717,200.000000,30,0,64,1,Cho2017,EEGNet_8_2
0.701500,4.034315,200.000000,31,0,64,1,Cho2017,EEGNet_8_2
0.460500,2.831774,200.000000,32,0,64,1,Cho2017,EEGNet_8_2
0.535000,3.240817,200.000000,33,0,64,1,Cho2017,EEGNet_8_2
0.572500,3.404253,200.000000,34,0,64,1,Cho2017,EEGNet_8_2
0.932500,6.603183,200.000000,35,0,64,1,Cho2017,EEGNet_8_2
0.754000,5.471994,200.000000,36,0,64,1,Cho2017,EEGNet_8_2
0.881500,3.680207,200.000000,37,0,64,1,Cho2017,EEGNet_8_2
0.536500,2.876239,200.000000,38,0,64,1,Cho2017,EEGNet_8_2
0.772000,3.984758,200.000000,39,0,64,1,Cho2017,EEGNet_8_2
0.651000,3.470050,200.000000,40,0,64,1,Cho2017,EEGNet_8_2
0.911000,5.339742,200.000000,41,0,64,1,Cho2017,EEGNet_8_2
0.619500,3.832245,200.000000,42,0,64,1,Cho2017,EEGNet_8_2
0.998500,7.588114,200.000000,43,0,64,1,Cho2017,EEGNet_8_2
0.784500,6.286522,200.000000,44,0,64,1,Cho2017,EEGNet_8_2
0.595500,4.272446,200.000000,45,0,64,1,Cho2017,EEGNet_8_2
0.794444,4.517414,240.000000,46,0,64,1,Cho2017,EEGNet_8_2
0.727000,3.556088,200.000000,47,0,64,1,Cho2017,EEGNet_8_2
0.938000,5.755099,200.000000,48,0,64,1,Cho2017,EEGNet_8_2
0.811500,2.876542,200.000000,49,0,64,1,Cho2017,EEGNet_8_2
0.920500,4.676350,200.000000,50,0,64,1,Cho2017,EEGNet_8_2
0.504000,2.988727,200.000000,51,0,64,1,Cho2017,EEGNet_8_2
0.536500,4.244336,200.000000,52,0,64,1,Cho2017,EEGNet_8_2
