score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.895000,15.761916,200.000000,1,0,64,1,Cho2017,ShallowConvNet
0.490000,7.016549,200.000000,2,0,64,1,Cho2017,ShallowConvNet
0.981000,18.827398,200.000000,3,0,64,1,Cho2017,ShallowConvNet
0.839500,15.066313,200.000000,4,0,64,1,Cho2017,ShallowConvNet
0.907000,8.586409,200.000000,5,0,64,1,Cho2017,ShallowConvNet
0.831000,11.772088,200.000000,6,0,64,1,Cho2017,ShallowConvNet
0.606597,5.942168,240.000000,7,0,64,1,Cho2017,ShallowConvNet
0.594000,6.648053,200.000000,8,0,64,1,Cho2017,ShallowConvNet
0.732986,9.566936,240.000000,9,0,64,1,Cho2017,ShallowConvNet
0.694000,7.281302,200.000000,10,0,64,1,Cho2017,ShallowConvNet
0.613500,7.951797,200.000000,11,0,64,1,Cho2017,ShallowConvNet
0.754000,5.754637,200.000000,12,0,64,1,Cho2017,ShallowConvNet
0.938500,15.569400,200.000000,13,0,64,1,Cho2017,ShallowConvNet
0.997500,11.337605,200.000000,14,0,64,1,Cho2017,ShallowConvNet
0.550000,6.151890,200.000000,15,0,64,1,Cho2017,ShallowConvNet
0.525000,5.533652,200.000000,16,0,64,1,Cho2017,ShallowConvNet
0.618500,5.562328,200.000000,17,0,64,1,Cho2017,ShallowConvNet
0.736500,6.868869,200.000000,18,0,64,1,Cho2017,ShallowConvNet
0.543000,5.727733,200.000000,19,0,64,1,Cho2017,ShallowConvNet
0.807500,9.124634,200.000000,20,0,64,1,Cho2017,ShallowConvNet
0.714500,10.602614,200.000000,21,0,64,1,Cho2017,ShallowConvNet
0.649500,5.897385,200.000000,22,0,64,1,Cho2017,ShallowConvNet
0.724500,9.007852,200.000000,23,0,64,1,Cho2017,ShallowConvNet
0.791500,5.515508,200.000000,24,0,64,1,Cho2017,ShallowConvNet
0.631500,8.538045,200.000000,25,0,64,1,Cho2017,ShallowConvNet
0.793500,10.793478,200.000000,26,0,64,1,Cho2017,ShallowConvNet
0.573500,5.361492,200.000000,27,0,64,1,Cho2017,ShallowConvNet
0.765500,8.905986,200.000000,28,0,64,1,Cho2017,ShallowConvNet
0.603500,8.568425,200.000000,29,0,64,1,Cho2017,ShallowConvNet
0.588500,6.175789,200.000000,30,0,64,1,Cho2017,ShallowConvNet
0.669000,6.831524,200.000000,31,0,64,1,Cho2017,ShallowConvNet
0.607000,8.670072,200.000000,32,0,64,1,Cho2017,ShallowConvNet
0.643000,6.320114,200.000000,33,0,64,1,Cho2017,ShallowConvNet
0.594500,6.357348,200.000000,34,0,64,1,Cho2017,ShallowConvNet
0.898000,11.305660,200.000000,35,0,64,1,Cho2017,ShallowConvNet
0.758000,6.759953,200.000000,36,0,64,1,Cho2017,ShallowConvNet
0.851500,6.352389,200.000000,37,0,64,1,Cho2017,ShallowConvNet
0.550000,10.251945,200.000000,38,0,64,1,Cho2017,ShallowConvNet
0.790000,7.846712,200.000000,39,0,64,1,Cho2017,ShallowConvNet
0.630000,7.751019,200.000000,40,0,64,1,Cho2017,ShallowConvNet
0.757500,7.484401,200.000000,41,0,64,1,Cho2017,ShallowConvNet
0.575000,7.420902,200.000000,42,0,64,1,Cho2017,ShallowConvNet
0.998500,23.341774,200.000000,43,0,64,1,Cho2017,ShallowConvNet
0.799000,8.636155,200.000000,44,0,64,1,Cho2017,ShallowConvNet
0.625500,6.519649,200.000000,45,0,64,1,Cho2017,ShallowConvNet
0.778819,9.188867,240.000000,46,0,64,1,Cho2017,ShallowConvNet
0.772500,15.099404,200.000000,47,0,64,1,Cho2017,ShallowConvNet
0.954000,19.930168,200.000000,48,0,64,1,Cho2017,ShallowConvNet
0.855500,9.828123,200.000000,49,0,64,1,Cho2017,ShallowConvNet
0.956500,16.994400,200.000000,50,0,64,1,Cho2017,ShallowConvNet
0.562500,6.608184,200.000000,51,0,64,1,Cho2017,ShallowConvNet
0.615000,7.337590,200.000000,52,0,64,1,Cho2017,ShallowConvNet
