score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.878500,5.488954,200.000000,1,0,64,1,Cho2017,DeepConvNet
0.466000,3.319339,200.000000,2,0,64,1,Cho2017,DeepConvNet
0.995500,9.490854,200.000000,3,0,64,1,Cho2017,DeepConvNet
0.550000,3.453620,200.000000,4,0,64,1,Cho2017,DeepConvNet
0.893250,3.005839,200.000000,5,0,64,1,Cho2017,DeepConvNet
0.801000,4.887678,200.000000,6,0,64,1,Cho2017,DeepConvNet
0.556944,3.864204,240.000000,7,0,64,1,Cho2017,DeepConvNet
0.537000,2.262802,200.000000,8,0,64,1,Cho2017,DeepConvNet
0.716667,3.729048,240.000000,9,0,64,1,Cho2017,DeepConvNet
0.684500,2.744781,200.000000,10,0,64,1,Cho2017,DeepConvNet
0.548000,2.866602,200.000000,11,0,64,1,Cho2017,DeepConvNet
0.677000,2.487105,200.000000,12,0,64,1,Cho2017,DeepConvNet
0.892000,4.709220,200.000000,13,0,64,1,Cho2017,DeepConvNet
0.947500,4.117687,200.000000,14,0,64,1,Cho2017,DeepConvNet
0.444500,2.435680,200.000000,15,0,64,1,Cho2017,DeepConvNet
0.612000,2.850309,200.000000,16,0,64,1,Cho2017,DeepConvNet
0.473000,2.247625,200.000000,17,0,64,1,Cho2017,DeepConvNet
0.755500,4.950031,200.000000,18,0,64,1,Cho2017,DeepConvNet
0.507000,2.422434,200.000000,19,0,64,1,Cho2017,DeepConvNet
0.729000,5.513712,200.000000,20,0,64,1,Cho2017,DeepConvNet
0.634500,2.408969,200.000000,21,0,64,1,Cho2017,DeepConvNet
0.635000,2.471981,200.000000,22,0,64,1,Cho2017,DeepConvNet
0.841500,5.332963,200.000000,23,0,64,1,Cho2017,DeepConvNet
0.796000,2.747447,200.000000,24,0,64,1,Cho2017,DeepConvNet
0.561000,3.006872,200.000000,25,0,64,1,Cho2017,DeepConvNet
0.767000,2.664445,200.000000,26,0,64,1,Cho2017,DeepConvNet
0.538500,2.524884,200.000000,27,0,64,1,Cho2017,DeepConvNet
0.636500,2.915386,200.000000,28,0,64,1,Cho2017,DeepConvNet
0.541000,2.155672,200.000000,29,0,64,1,Cho2017,DeepConvNet
0.593000,2.718135,200.000000,30,0,64,1,Cho2017,DeepConvNet
0.618000,2.535907,200.000000,31,0,64,1,Cho2017,DeepConvNet
0.544500,3.961280,200.000000,32,0,64,1,Cho2017,DeepConvNet
0.657500,2.749321,200.000000,33,0,64,1,Cho2017,DeepConvNet
0.607500,2.869983,200.000000,34,0,64,1,Cho2017,DeepConvNet
0.897500,6.178809,200.000000,35,0,64,1,Cho2017,DeepConvNet
0.752500,2.693323,200.000000,36,0,64,1,Cho2017,DeepConvNet
0.864500,2.348339,200.000000,37,0,64,1,Cho2017,DeepConvNet
0.467000,2.473900,200.000000,38,0,64,1,Cho2017,DeepConvNet
0.809000,4.704232,200.000000,39,0,64,1,Cho2017,DeepConvNet
0.523000,2.760527,200.000000,40,0,64,1,Cho2017,DeepConvNet
0.573500,2.285698,200.000000,41,0,64,1,Cho2017,DeepConvNet
0.539500,2.747582,200.000000,42,0,64,1,Cho2017,DeepConvNet
0.992500,6.823393,200.000000,43,0,64,1,Cho2017,DeepConvNet
0.748000,4.958377,200.000000,44,0,64,1,Cho2017,DeepConvNet
0.650500,2.917421,200.000000,45,0,64,1,Cho2017,DeepConvNet
0.711806,3.593840,240.000000,46,0,64,1,Cho2017,DeepConvNet
0.663500,3.111423,200.000000,47,0,64,1,Cho2017,DeepConvNet
0.794500,5.041368,200.000000,48,0,64,1,Cho2017,DeepConvNet
0.830500,2.267622,200.000000,49,0,64,1,Cho2017,DeepConvNet
0.959500,2.400447,200.000000,50,0,64,1,Cho2017,DeepConvNet
0.567500,3.260276,200.000000,51,0,64,1,Cho2017,DeepConvNet
0.497500,3.408119,200.000000,52,0,64,1,Cho2017,DeepConvNet
