score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.917600,1629.532593,10600.000000,200.000000,2.000000,1,1,62,2,Lee2019-MI,TS+EL
0.917600,2320.815186,10600.000000,200.000000,2.000000,2,1,62,2,Lee2019-MI,TS+EL
0.979400,2374.949951,10600.000000,200.000000,2.000000,3,1,62,2,Lee2019-MI,TS+EL
0.838300,2287.865234,10600.000000,200.000000,2.000000,4,1,62,2,Lee2019-MI,TS+EL
0.965000,2244.671143,10600.000000,200.000000,2.000000,5,1,62,2,Lee2019-MI,TS+EL
0.835800,2231.547852,10600.000000,200.000000,2.000000,6,1,62,2,Lee2019-MI,TS+EL
0.849800,2563.447510,10600.000000,200.000000,2.000000,7,1,62,2,Lee2019-MI,TS+EL
0.807000,2233.276855,10600.000000,200.000000,2.000000,8,1,62,2,Lee2019-MI,TS+EL
0.782900,2280.010010,10600.000000,200.000000,2.000000,9,1,62,2,Lee2019-MI,TS+EL
0.712100,2632.171143,10600.000000,200.000000,2.000000,10,1,62,2,Lee2019-MI,TS+EL
0.525100,2775.808350,10600.000000,200.000000,2.000000,11,1,62,2,Lee2019-MI,TS+EL
0.710900,2366.320068,10600.000000,200.000000,2.000000,12,1,62,2,Lee2019-MI,TS+EL
0.675200,2237.532715,10600.000000,200.000000,2.000000,13,1,62,2,Lee2019-MI,TS+EL
0.702600,2596.814697,10600.000000,200.000000,2.000000,14,1,62,2,Lee2019-MI,TS+EL
0.738900,2165.793457,10600.000000,200.000000,2.000000,15,1,62,2,Lee2019-MI,TS+EL
0.699400,2698.908447,10600.000000,200.000000,2.000000,16,1,62,2,Lee2019-MI,TS+EL
0.845800,2421.893066,10600.000000,200.000000,2.000000,17,1,62,2,Lee2019-MI,TS+EL
0.934100,2356.478271,10600.000000,200.000000,2.000000,18,1,62,2,Lee2019-MI,TS+EL
0.841000,2310.603027,10600.000000,200.000000,2.000000,19,1,62,2,Lee2019-MI,TS+EL
0.895800,2355.299805,10600.000000,200.000000,2.000000,20,1,62,2,Lee2019-MI,TS+EL
0.997600,2774.645264,10600.000000,200.000000,2.000000,21,1,62,2,Lee2019-MI,TS+EL
0.890200,2250.773926,10600.000000,200.000000,2.000000,22,1,62,2,Lee2019-MI,TS+EL
0.860000,2132.276123,10600.000000,200.000000,2.000000,23,1,62,2,Lee2019-MI,TS+EL
0.501600,2210.007812,10600.000000,200.000000,2.000000,24,1,62,2,Lee2019-MI,TS+EL
0.820800,2226.772949,10600.000000,200.000000,2.000000,25,1,62,2,Lee2019-MI,TS+EL
0.668200,2222.095703,10600.000000,200.000000,2.000000,26,1,62,2,Lee2019-MI,TS+EL
0.552900,2265.724609,10600.000000,200.000000,2.000000,27,1,62,2,Lee2019-MI,TS+EL
0.976100,2264.433350,10600.000000,200.000000,2.000000,28,1,62,2,Lee2019-MI,TS+EL
0.916100,2261.638184,10600.000000,200.000000,2.000000,29,1,62,2,Lee2019-MI,TS+EL
0.776600,2601.711182,10600.000000,200.000000,2.000000,30,1,62,2,Lee2019-MI,TS+EL
0.800800,2433.336670,10600.000000,200.000000,2.000000,31,1,62,2,Lee2019-MI,TS+EL
0.973200,2540.448242,10600.000000,200.000000,2.000000,32,1,62,2,Lee2019-MI,TS+EL
0.980300,2250.257812,10600.000000,200.000000,2.000000,33,1,62,2,Lee2019-MI,TS+EL
0.562200,2322.038086,10600.000000,200.000000,2.000000,34,1,62,2,Lee2019-MI,TS+EL
0.728600,2712.874756,10600.000000,200.000000,2.000000,35,1,62,2,Lee2019-MI,TS+EL
0.997800,2220.819580,10600.000000,200.000000,2.000000,36,1,62,2,Lee2019-MI,TS+EL
0.979200,2507.411621,10600.000000,200.000000,2.000000,37,1,62,2,Lee2019-MI,TS+EL
0.620400,2676.504639,10600.000000,200.000000,2.000000,38,1,62,2,Lee2019-MI,TS+EL
0.935900,2359.558838,10600.000000,200.000000,2.000000,39,1,62,2,Lee2019-MI,TS+EL
0.704000,2149.541504,10600.000000,200.000000,2.000000,40,1,62,2,Lee2019-MI,TS+EL
0.652700,2147.472656,10600.000000,200.000000,2.000000,41,1,62,2,Lee2019-MI,TS+EL
0.798100,2367.327637,10600.000000,200.000000,2.000000,42,1,62,2,Lee2019-MI,TS+EL
0.855400,2260.364502,10600.000000,200.000000,2.000000,43,1,62,2,Lee2019-MI,TS+EL
0.992100,2233.895752,10600.000000,200.000000,2.000000,44,1,62,2,Lee2019-MI,TS+EL
0.980500,2259.656738,10600.000000,200.000000,2.000000,45,1,62,2,Lee2019-MI,TS+EL
0.847100,2250.089355,10600.000000,200.000000,2.000000,46,1,62,2,Lee2019-MI,TS+EL
0.886100,2596.169678,10600.000000,200.000000,2.000000,47,1,62,2,Lee2019-MI,TS+EL
0.632100,2283.178467,10600.000000,200.000000,2.000000,48,1,62,2,Lee2019-MI,TS+EL
0.817300,2654.553711,10600.000000,200.000000,2.000000,49,1,62,2,Lee2019-MI,TS+EL
0.551500,2175.497803,10600.000000,200.000000,2.000000,50,1,62,2,Lee2019-MI,TS+EL
0.684600,2272.708984,10600.000000,200.000000,2.000000,51,1,62,2,Lee2019-MI,TS+EL
0.859600,2604.301758,10600.000000,200.000000,2.000000,52,1,62,2,Lee2019-MI,TS+EL
0.691400,2291.661865,10600.000000,200.000000,2.000000,53,1,62,2,Lee2019-MI,TS+EL
0.693200,2267.227295,10600.000000,200.000000,2.000000,54,1,62,2,Lee2019-MI,TS+EL
