score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.949400,1219.442871,10600.000000,200.000000,2.000000,1,1,62,2,Lee2019-MI,EEGNet_8_2
0.907700,1290.563843,10600.000000,200.000000,2.000000,2,1,62,2,Lee2019-MI,EEGNet_8_2
0.995700,1448.113525,10600.000000,200.000000,2.000000,3,1,62,2,Lee2019-MI,EEGNet_8_2
0.909200,752.560425,10600.000000,200.000000,2.000000,4,1,62,2,Lee2019-MI,EEGNet_8_2
0.964000,633.046082,10600.000000,200.000000,2.000000,5,1,62,2,Lee2019-MI,EEGNet_8_2
0.992800,1448.948608,10600.000000,200.000000,2.000000,6,1,62,2,Lee2019-MI,EEGNet_8_2
0.878700,719.342041,10600.000000,200.000000,2.000000,7,1,62,2,Lee2019-MI,EEGNet_8_2
0.937500,574.846741,10600.000000,200.000000,2.000000,8,1,62,2,Lee2019-MI,EEGNet_8_2
0.924300,624.320679,10600.000000,200.000000,2.000000,9,1,62,2,Lee2019-MI,EEGNet_8_2
0.669800,1446.780640,10600.000000,200.000000,2.000000,10,1,62,2,Lee2019-MI,EEGNet_8_2
0.808200,1357.266235,10600.000000,200.000000,2.000000,11,1,62,2,Lee2019-MI,EEGNet_8_2
0.903100,825.790466,10600.000000,200.000000,2.000000,12,1,62,2,Lee2019-MI,EEGNet_8_2
0.835100,1173.793335,10600.000000,200.000000,2.000000,13,1,62,2,Lee2019-MI,EEGNet_8_2
0.828900,522.896423,10600.000000,200.000000,2.000000,14,1,62,2,Lee2019-MI,EEGNet_8_2
0.877200,917.648010,10600.000000,200.000000,2.000000,15,1,62,2,Lee2019-MI,EEGNet_8_2
0.853000,1448.534302,10600.000000,200.000000,2.000000,16,1,62,2,Lee2019-MI,EEGNet_8_2
0.834600,1448.098145,10600.000000,200.000000,2.000000,17,1,62,2,Lee2019-MI,EEGNet_8_2
0.991800,1448.657715,10600.000000,200.000000,2.000000,18,1,62,2,Lee2019-MI,EEGNet_8_2
0.955400,681.317688,10600.000000,200.000000,2.000000,19,1,62,2,Lee2019-MI,EEGNet_8_2
0.964800,1238.834351,10600.000000,200.000000,2.000000,20,1,62,2,Lee2019-MI,EEGNet_8_2
1.000000,1042.788330,10600.000000,200.000000,2.000000,21,1,62,2,Lee2019-MI,EEGNet_8_2
0.893100,671.683655,10600.000000,200.000000,2.000000,22,1,62,2,Lee2019-MI,EEGNet_8_2
0.812000,1448.954224,10600.000000,200.000000,2.000000,23,1,62,2,Lee2019-MI,EEGNet_8_2
0.762200,1429.862183,10600.000000,200.000000,2.000000,24,1,62,2,Lee2019-MI,EEGNet_8_2
0.970700,1133.301270,10600.000000,200.000000,2.000000,25,1,62,2,Lee2019-MI,EEGNet_8_2
0.828600,1212.140381,10600.000000,200.000000,2.000000,26,1,62,2,Lee2019-MI,EEGNet_8_2
0.956500,1446.685791,10600.000000,200.000000,2.000000,27,1,62,2,Lee2019-MI,EEGNet_8_2
0.999200,1123.238892,10600.000000,200.000000,2.000000,28,1,62,2,Lee2019-MI,EEGNet_8_2
0.763800,1155.689209,10600.000000,200.000000,2.000000,29,1,62,2,Lee2019-MI,EEGNet_8_2
0.749200,677.138367,10600.000000,200.000000,2.000000,30,1,62,2,Lee2019-MI,EEGNet_8_2
0.878600,1172.380859,10600.000000,200.000000,2.000000,31,1,62,2,Lee2019-MI,EEGNet_8_2
