score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.928200,1246.379761,10600.000000,200.000000,2.000000,1,1,62,2,Lee2019-MI,ShallowConvNet
0.924600,1252.545654,10600.000000,200.000000,2.000000,2,1,62,2,Lee2019-MI,ShallowConvNet
0.980200,1197.572754,10600.000000,200.000000,2.000000,3,1,62,2,Lee2019-MI,ShallowConvNet
0.903500,1197.723145,10600.000000,200.000000,2.000000,4,1,62,2,Lee2019-MI,ShallowConvNet
0.969000,1210.189209,10600.000000,200.000000,2.000000,5,1,62,2,Lee2019-MI,ShallowConvNet
0.972200,1367.428955,10600.000000,200.000000,2.000000,6,1,62,2,Lee2019-MI,ShallowConvNet
0.833400,1197.539917,10600.000000,200.000000,2.000000,7,1,62,2,Lee2019-MI,ShallowConvNet
0.848000,1241.179443,10600.000000,200.000000,2.000000,8,1,62,2,Lee2019-MI,ShallowConvNet
0.876900,1328.748047,10600.000000,200.000000,2.000000,9,1,62,2,Lee2019-MI,ShallowConvNet
0.650400,1242.234253,10600.000000,200.000000,2.000000,10,1,62,2,Lee2019-MI,ShallowConvNet
0.757000,1271.124634,10600.000000,200.000000,2.000000,11,1,62,2,Lee2019-MI,ShallowConvNet
0.837300,1199.801392,10600.000000,200.000000,2.000000,12,1,62,2,Lee2019-MI,ShallowConvNet
0.769500,1399.405518,10600.000000,200.000000,2.000000,13,1,62,2,Lee2019-MI,ShallowConvNet
0.811900,1241.284302,10600.000000,200.000000,2.000000,14,1,62,2,Lee2019-MI,ShallowConvNet
0.673100,1328.704468,10600.000000,200.000000,2.000000,15,1,62,2,Lee2019-MI,ShallowConvNet
0.765600,1337.782593,10600.000000,200.000000,2.000000,16,1,62,2,Lee2019-MI,ShallowConvNet
0.781950,1345.673462,10600.000000,200.000000,2.000000,17,1,62,2,Lee2019-MI,ShallowConvNet
0.968600,1399.908813,10600.000000,200.000000,2.000000,18,1,62,2,Lee2019-MI,ShallowConvNet
0.891400,1241.441284,10600.000000,200.000000,2.000000,19,1,62,2,Lee2019-MI,ShallowConvNet
0.900700,1228.013062,10600.000000,200.000000,2.000000,20,1,62,2,Lee2019-MI,ShallowConvNet
0.999700,1359.187988,10600.000000,200.000000,2.000000,21,1,62,2,Lee2019-MI,ShallowConvNet
0.878500,1385.136108,10600.000000,200.000000,2.000000,22,1,62,2,Lee2019-MI,ShallowConvNet
0.736000,1531.564819,10600.000000,200.000000,2.000000,23,1,62,2,Lee2019-MI,ShallowConvNet
0.623600,1228.682983,10600.000000,200.000000,2.000000,24,1,62,2,Lee2019-MI,ShallowConvNet
0.943900,1386.831177,10600.000000,200.000000,2.000000,25,1,62,2,Lee2019-MI,ShallowConvNet
0.775550,1356.809204,10600.000000,200.000000,2.000000,26,1,62,2,Lee2019-MI,ShallowConvNet
0.796600,1300.816772,10600.000000,200.000000,2.000000,27,1,62,2,Lee2019-MI,ShallowConvNet
0.995700,1387.129883,10600.000000,200.000000,2.000000,28,1,62,2,Lee2019-MI,ShallowConvNet
0.891300,1227.863892,10600.000000,200.000000,2.000000,29,1,62,2,Lee2019-MI,ShallowConvNet
0.749900,1357.693726,10600.000000,200.000000,2.000000,30,1,62,2,Lee2019-MI,ShallowConvNet
0.788600,1228.273804,10600.000000,200.000000,2.000000,31,1,62,2,Lee2019-MI,ShallowConvNet
0.970800,1168.964844,10600.000000,200.000000,2.000000,32,1,62,2,Lee2019-MI,ShallowConvNet
0.999000,1228.850098,10600.000000,200.000000,2.000000,33,1,62,2,Lee2019-MI,ShallowConvNet
0.625900,1184.801636,10600.000000,200.000000,2.000000,34,1,62,2,Lee2019-MI,ShallowConvNet
0.639700,1271.358032,10600.000000,200.000000,2.000000,35,1,62,2,Lee2019-MI,ShallowConvNet
1.000000,1198.892212,10600.000000,200.000000,2.000000,36,1,62,2,Lee2019-MI,ShallowConvNet
0.994500,1241.417847,10600.000000,200.000000,2.000000,37,1,62,2,Lee2019-MI,ShallowConvNet
0.620100,1213.245239,10600.000000,200.000000,2.000000,38,1,62,2,Lee2019-MI,ShallowConvNet
0.846700,1299.935059,10600.000000,200.000000,2.000000,39,1,62,2,Lee2019-MI,ShallowConvNet
0.783700,1183.110840,10600.000000,200.000000,2.000000,40,1,62,2,Lee2019-MI,ShallowConvNet
0.633100,1373.597168,10600.000000,200.000000,2.000000,41,1,62,2,Lee2019-MI,ShallowConvNet
0.806600,1271.067017,10600.000000,200.000000,2.000000,42,1,62,2,Lee2019-MI,ShallowConvNet
0.891400,1343.541870,10600.000000,200.000000,2.000000,43,1,62,2,Lee2019-MI,ShallowConvNet
0.986000,1314.949219,10600.000000,200.000000,2.000000,44,1,62,2,Lee2019-MI,ShallowConvNet
0.954500,1285.359619,10600.000000,200.000000,2.000000,45,1,62,2,Lee2019-MI,ShallowConvNet
0.896100,1226.032471,10600.000000,200.000000,2.000000,46,1,62,2,Lee2019-MI,ShallowConvNet
0.968000,1342.403076,10600.000000,200.000000,2.000000,47,1,62,2,Lee2019-MI,ShallowConvNet
0.787700,1255.321411,10600.000000,200.000000,2.000000,48,1,62,2,Lee2019-MI,ShallowConvNet
0.932900,1185.518066,10600.000000,200.000000,2.000000,49,1,62,2,Lee2019-MI,ShallowConvNet
0.574200,1284.526611,10600.000000,200.000000,2.000000,50,1,62,2,Lee2019-MI,ShallowConvNet
0.797000,1502.830811,10600.000000,200.000000,2.000000,51,1,62,2,Lee2019-MI,ShallowConvNet
0.893200,1228.393188,10600.000000,200.000000,2.000000,52,1,62,2,Lee2019-MI,ShallowConvNet
0.754100,1313.171509,10600.000000,200.000000,2.000000,53,1,62,2,Lee2019-MI,ShallowConvNet
0.727000,1387.940186,10600.000000,200.000000,2.000000,54,1,62,2,Lee2019-MI,ShallowConvNet
