score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.941500,587.722046,10600.000000,200.000000,2.000000,1,1,62,2,Lee2019-MI,DeepConvNet
0.892000,660.915649,10600.000000,200.000000,2.000000,2,1,62,2,Lee2019-MI,DeepConvNet
0.985600,599.280090,10600.000000,200.000000,2.000000,3,1,62,2,Lee2019-MI,DeepConvNet
0.881100,555.326782,10600.000000,200.000000,2.000000,4,1,62,2,Lee2019-MI,DeepConvNet
0.983200,589.080566,10600.000000,200.000000,2.000000,5,1,62,2,Lee2019-MI,DeepConvNet
0.960700,581.415588,10600.000000,200.000000,2.000000,6,1,62,2,Lee2019-MI,DeepConvNet
0.906700,600.746277,10600.000000,200.000000,2.000000,7,1,62,2,Lee2019-MI,DeepConvNet
0.887300,479.613220,10600.000000,200.000000,2.000000,8,1,62,2,Lee2019-MI,DeepConvNet
0.903800,632.949951,10600.000000,200.000000,2.000000,9,1,62,2,Lee2019-MI,DeepConvNet
0.699500,543.993713,10600.000000,200.000000,2.000000,10,1,62,2,Lee2019-MI,DeepConvNet
0.696900,648.277100,10600.000000,200.000000,2.000000,11,1,62,2,Lee2019-MI,DeepConvNet
0.856300,667.369629,10600.000000,200.000000,2.000000,12,1,62,2,Lee2019-MI,DeepConvNet
0.773500,593.113159,10600.000000,200.000000,2.000000,13,1,62,2,Lee2019-MI,DeepConvNet
0.848400,546.913940,10600.000000,200.000000,2.000000,14,1,62,2,Lee2019-MI,DeepConvNet
0.803300,600.162964,10600.000000,200.000000,2.000000,15,1,62,2,Lee2019-MI,DeepConvNet
0.760600,607.977051,10600.000000,200.000000,2.000000,16,1,62,2,Lee2019-MI,DeepConvNet
0.819900,595.796570,10600.000000,200.000000,2.000000,17,1,62,2,Lee2019-MI,DeepConvNet
0.981500,656.625061,10600.000000,200.000000,2.000000,18,1,62,2,Lee2019-MI,DeepConvNet
0.920500,941.428833,10600.000000,200.000000,2.000000,19,1,62,2,Lee2019-MI,DeepConvNet
0.923600,817.846802,10600.000000,200.000000,2.000000,20,1,62,2,Lee2019-MI,DeepConvNet
0.998800,756.066772,10600.000000,200.000000,2.000000,21,1,62,2,Lee2019-MI,DeepConvNet
0.903100,800.628967,10600.000000,200.000000,2.000000,22,1,62,2,Lee2019-MI,DeepConvNet
0.807600,847.344604,10600.000000,200.000000,2.000000,23,1,62,2,Lee2019-MI,DeepConvNet
0.611700,889.398315,10600.000000,200.000000,2.000000,24,1,62,2,Lee2019-MI,DeepConvNet
0.973300,858.997620,10600.000000,200.000000,2.000000,25,1,62,2,Lee2019-MI,DeepConvNet
0.801000,802.993042,10600.000000,200.000000,2.000000,26,1,62,2,Lee2019-MI,DeepConvNet
0.826800,712.340332,10600.000000,200.000000,2.000000,27,1,62,2,Lee2019-MI,DeepConvNet
0.999000,852.706299,10600.000000,200.000000,2.000000,28,1,62,2,Lee2019-MI,DeepConvNet
0.918300,885.491577,10600.000000,200.000000,2.000000,29,1,62,2,Lee2019-MI,DeepConvNet
0.808600,709.658691,10600.000000,200.000000,2.000000,30,1,62,2,Lee2019-MI,DeepConvNet
0.874000,838.570496,10600.000000,200.000000,2.000000,31,1,62,2,Lee2019-MI,DeepConvNet
0.997900,871.932983,10600.000000,200.000000,2.000000,32,1,62,2,Lee2019-MI,DeepConvNet
0.999000,853.313110,10600.000000,200.000000,2.000000,33,1,62,2,Lee2019-MI,DeepConvNet
0.657000,770.713928,10600.000000,200.000000,2.000000,34,1,62,2,Lee2019-MI,DeepConvNet
0.845000,940.392029,10600.000000,200.000000,2.000000,35,1,62,2,Lee2019-MI,DeepConvNet
0.992800,836.728088,10600.000000,200.000000,2.000000,36,1,62,2,Lee2019-MI,DeepConvNet
0.995100,573.318604,10600.000000,200.000000,2.000000,37,1,62,2,Lee2019-MI,DeepConvNet
0.633700,636.988464,10600.000000,200.000000,2.000000,38,1,62,2,Lee2019-MI,DeepConvNet
0.926500,282.850739,10600.000000,200.000000,2.000000,39,1,62,2,Lee2019-MI,DeepConvNet
0.823900,571.175232,10600.000000,200.000000,2.000000,40,1,62,2,Lee2019-MI,DeepConvNet
0.737500,652.142151,10600.000000,200.000000,2.000000,41,1,62,2,Lee2019-MI,DeepConvNet
0.816800,710.328003,10600.000000,200.000000,2.000000,42,1,62,2,Lee2019-MI,DeepConvNet
0.917400,586.886841,10600.000000,200.000000,2.000000,43,1,62,2,Lee2019-MI,DeepConvNet
0.987000,509.120178,10600.000000,200.000000,2.000000,44,1,62,2,Lee2019-MI,DeepConvNet
0.990100,619.929382,10600.000000,200.000000,2.000000,45,1,62,2,Lee2019-MI,DeepConvNet
0.935700,672.842834,10600.000000,200.000000,2.000000,46,1,62,2,Lee2019-MI,DeepConvNet
0.955700,504.805511,10600.000000,200.000000,2.000000,47,1,62,2,Lee2019-MI,DeepConvNet
0.753200,557.895752,10600.000000,200.000000,2.000000,48,1,62,2,Lee2019-MI,DeepConvNet
0.903700,575.696777,10600.000000,200.000000,2.000000,49,1,62,2,Lee2019-MI,DeepConvNet
0.635300,565.579468,10600.000000,200.000000,2.000000,50,1,62,2,Lee2019-MI,DeepConvNet
0.809800,371.590454,10600.000000,200.000000,2.000000,51,1,62,2,Lee2019-MI,DeepConvNet
0.916200,353.815155,10600.000000,200.000000,2.000000,52,1,62,2,Lee2019-MI,DeepConvNet
0.798500,369.323029,10600.000000,200.000000,2.000000,53,1,62,2,Lee2019-MI,DeepConvNet
0.731900,408.583435,10600.000000,200.000000,2.000000,54,1,62,2,Lee2019-MI,DeepConvNet
