score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.873000,0.875285,200.000000,40.000000,2.000000,23,1,62,2,Lee2019-MI,TS+EL
0.995500,0.895871,200.000000,40.000000,2.000000,25,1,62,2,Lee2019-MI,TS+EL
0.826500,1.073173,200.000000,40.000000,2.000000,15,1,62,2,Lee2019-MI,TS+EL
0.902500,0.886232,200.000000,40.000000,2.000000,19,1,62,2,Lee2019-MI,TS+EL
0.974000,0.908303,200.000000,40.000000,2.000000,18,1,62,2,Lee2019-MI,TS+EL
0.681500,1.462936,200.000000,40.000000,2.000000,34,1,62,2,Lee2019-MI,TS+EL
0.828000,1.004461,200.000000,40.000000,2.000000,51,1,62,2,Lee2019-MI,TS+EL
0.994000,0.899245,200.000000,40.000000,2.000000,37,1,62,2,Lee2019-MI,TS+EL
0.999500,1.232372,200.000000,40.000000,2.000000,29,1,62,2,Lee2019-MI,TS+EL
0.919500,1.157859,200.000000,40.000000,2.000000,17,1,62,2,Lee2019-MI,TS+EL
0.793500,0.840580,200.000000,40.000000,2.000000,42,1,62,2,Lee2019-MI,TS+EL
0.842500,0.984538,200.000000,40.000000,2.000000,9,1,62,2,Lee2019-MI,TS+EL
0.998000,0.799393,200.000000,40.000000,2.000000,36,1,62,2,Lee2019-MI,TS+EL
0.823000,1.027087,200.000000,40.000000,2.000000,4,1,62,2,Lee2019-MI,TS+EL
0.684000,1.253102,200.000000,40.000000,2.000000,14,1,62,2,Lee2019-MI,TS+EL
0.997500,0.680484,200.000000,40.000000,2.000000,35,1,62,2,Lee2019-MI,TS+EL
0.681500,0.820769,200.000000,40.000000,2.000000,11,1,62,2,Lee2019-MI,TS+EL
0.992000,0.799853,200.000000,40.000000,2.000000,45,1,62,2,Lee2019-MI,TS+EL
0.853500,0.761657,200.000000,40.000000,2.000000,49,1,62,2,Lee2019-MI,TS+EL
0.802000,2.226228,200.000000,40.000000,2.000000,30,1,62,2,Lee2019-MI,TS+EL
0.738000,0.896109,200.000000,40.000000,2.000000,53,1,62,2,Lee2019-MI,TS+EL
1.000000,0.701003,200.000000,40.000000,2.000000,21,1,62,2,Lee2019-MI,TS+EL
0.717000,0.864940,200.000000,40.000000,2.000000,24,1,62,2,Lee2019-MI,TS+EL
0.802500,1.220920,200.000000,40.000000,2.000000,48,1,62,2,Lee2019-MI,TS+EL
0.977500,1.001291,200.000000,40.000000,2.000000,5,1,62,2,Lee2019-MI,TS+EL
0.988000,1.109723,200.000000,40.000000,2.000000,33,1,62,2,Lee2019-MI,TS+EL
0.821000,1.245408,200.000000,40.000000,2.000000,8,1,62,2,Lee2019-MI,TS+EL
0.977000,0.700387,200.000000,40.000000,2.000000,2,1,62,2,Lee2019-MI,TS+EL
0.681000,1.730923,200.000000,40.000000,2.000000,54,1,62,2,Lee2019-MI,TS+EL
0.908500,0.665601,200.000000,40.000000,2.000000,43,1,62,2,Lee2019-MI,TS+EL
0.807500,0.940883,200.000000,40.000000,2.000000,31,1,62,2,Lee2019-MI,TS+EL
0.999500,0.779182,200.000000,40.000000,2.000000,44,1,62,2,Lee2019-MI,TS+EL
0.851000,1.157033,200.000000,40.000000,2.000000,16,1,62,2,Lee2019-MI,TS+EL
0.692000,0.826275,200.000000,40.000000,2.000000,38,1,62,2,Lee2019-MI,TS+EL
0.730500,1.033802,200.000000,40.000000,2.000000,50,1,62,2,Lee2019-MI,TS+EL
0.933500,1.252663,200.000000,40.000000,2.000000,1,1,62,2,Lee2019-MI,TS+EL
0.966000,0.837400,200.000000,40.000000,2.000000,6,1,62,2,Lee2019-MI,TS+EL
0.931500,1.151120,200.000000,40.000000,2.000000,22,1,62,2,Lee2019-MI,TS+EL
0.841500,0.932966,200.000000,40.000000,2.000000,12,1,62,2,Lee2019-MI,TS+EL
0.996500,0.795265,200.000000,40.000000,2.000000,3,1,62,2,Lee2019-MI,TS+EL
0.895000,0.777429,200.000000,40.000000,2.000000,47,1,62,2,Lee2019-MI,TS+EL
0.919000,0.998810,200.000000,40.000000,2.000000,7,1,62,2,Lee2019-MI,TS+EL
0.669000,1.329729,200.000000,40.000000,2.000000,26,1,62,2,Lee2019-MI,TS+EL
0.779500,1.171359,200.000000,40.000000,2.000000,27,1,62,2,Lee2019-MI,TS+EL
0.735000,0.765875,200.000000,40.000000,2.000000,40,1,62,2,Lee2019-MI,TS+EL
0.999500,0.749588,200.000000,40.000000,2.000000,28,1,62,2,Lee2019-MI,TS+EL
0.794500,0.849315,200.000000,40.000000,2.000000,13,1,62,2,Lee2019-MI,TS+EL
0.921500,0.882064,200.000000,40.000000,2.000000,46,1,62,2,Lee2019-MI,TS+EL
0.991500,0.893445,200.000000,40.000000,2.000000,32,1,62,2,Lee2019-MI,TS+EL
0.887500,0.670098,200.000000,40.000000,2.000000,52,1,62,2,Lee2019-MI,TS+EL
0.746000,0.854379,200.000000,40.000000,2.000000,10,1,62,2,Lee2019-MI,TS+EL
0.689000,0.859789,200.000000,40.000000,2.000000,41,1,62,2,Lee2019-MI,TS+EL
0.978000,1.354698,200.000000,40.000000,2.000000,39,1,62,2,Lee2019-MI,TS+EL
0.945500,1.100784,200.000000,40.000000,2.000000,20,1,62,2,Lee2019-MI,TS+EL
