score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.623000,5.372573,200.000000,40.000000,2.000000,23,1,62,2,Lee2019-MI,EEGNet_8_2
0.975500,4.709998,200.000000,40.000000,2.000000,25,1,62,2,Lee2019-MI,EEGNet_8_2
0.772500,5.705089,200.000000,40.000000,2.000000,15,1,62,2,Lee2019-MI,EEGNet_8_2
0.803000,5.581606,200.000000,40.000000,2.000000,19,1,62,2,Lee2019-MI,EEGNet_8_2
0.979500,9.428151,200.000000,40.000000,2.000000,18,1,62,2,Lee2019-MI,EEGNet_8_2
0.574500,4.188750,200.000000,40.000000,2.000000,34,1,62,2,Lee2019-MI,EEGNet_8_2
0.626500,6.740182,200.000000,40.000000,2.000000,51,1,62,2,Lee2019-MI,EEGNet_8_2
0.997500,9.420471,200.000000,40.000000,2.000000,37,1,62,2,Lee2019-MI,EEGNet_8_2
0.996500,9.849105,200.000000,40.000000,2.000000,29,1,62,2,Lee2019-MI,EEGNet_8_2
0.517500,5.007055,200.000000,40.000000,2.000000,17,1,62,2,Lee2019-MI,EEGNet_8_2
0.706750,5.465014,200.000000,40.000000,2.000000,42,1,62,2,Lee2019-MI,EEGNet_8_2
0.848500,4.305707,200.000000,40.000000,2.000000,9,1,62,2,Lee2019-MI,EEGNet_8_2
0.999500,9.829529,200.000000,40.000000,2.000000,36,1,62,2,Lee2019-MI,EEGNet_8_2
0.907000,3.762917,200.000000,40.000000,2.000000,4,1,62,2,Lee2019-MI,EEGNet_8_2
0.589000,4.126805,200.000000,40.000000,2.000000,14,1,62,2,Lee2019-MI,EEGNet_8_2
0.947500,5.885098,200.000000,40.000000,2.000000,35,1,62,2,Lee2019-MI,EEGNet_8_2
0.589500,4.532395,200.000000,40.000000,2.000000,11,1,62,2,Lee2019-MI,EEGNet_8_2
0.970500,8.095511,200.000000,40.000000,2.000000,45,1,62,2,Lee2019-MI,EEGNet_8_2
0.730000,4.682805,200.000000,40.000000,2.000000,49,1,62,2,Lee2019-MI,EEGNet_8_2
0.633000,5.176263,200.000000,40.000000,2.000000,30,1,62,2,Lee2019-MI,EEGNet_8_2
0.665000,6.622777,200.000000,40.000000,2.000000,53,1,62,2,Lee2019-MI,EEGNet_8_2
1.000000,9.688928,200.000000,40.000000,2.000000,21,1,62,2,Lee2019-MI,EEGNet_8_2
0.508000,3.391090,200.000000,40.000000,2.000000,24,1,62,2,Lee2019-MI,EEGNet_8_2
0.736000,3.844726,200.000000,40.000000,2.000000,48,1,62,2,Lee2019-MI,EEGNet_8_2
0.840000,6.051526,200.000000,40.000000,2.000000,5,1,62,2,Lee2019-MI,EEGNet_8_2
0.996500,8.294879,200.000000,40.000000,2.000000,33,1,62,2,Lee2019-MI,EEGNet_8_2
0.779250,6.624670,200.000000,40.000000,2.000000,8,1,62,2,Lee2019-MI,EEGNet_8_2
0.843000,5.897499,200.000000,40.000000,2.000000,2,1,62,2,Lee2019-MI,EEGNet_8_2
0.583000,4.709745,200.000000,40.000000,2.000000,54,1,62,2,Lee2019-MI,EEGNet_8_2
0.699000,3.679175,200.000000,40.000000,2.000000,43,1,62,2,Lee2019-MI,EEGNet_8_2
0.612500,3.547693,200.000000,40.000000,2.000000,31,1,62,2,Lee2019-MI,EEGNet_8_2
1.000000,9.801085,200.000000,40.000000,2.000000,44,1,62,2,Lee2019-MI,EEGNet_8_2
0.669000,3.593487,200.000000,40.000000,2.000000,16,1,62,2,Lee2019-MI,EEGNet_8_2
0.505500,3.771427,200.000000,40.000000,2.000000,38,1,62,2,Lee2019-MI,EEGNet_8_2
0.589500,3.452543,200.000000,40.000000,2.000000,50,1,62,2,Lee2019-MI,EEGNet_8_2
0.852000,7.092557,200.000000,40.000000,2.000000,1,1,62,2,Lee2019-MI,EEGNet_8_2
0.978500,9.229509,200.000000,40.000000,2.000000,6,1,62,2,Lee2019-MI,EEGNet_8_2
0.786500,6.667728,200.000000,40.000000,2.000000,22,1,62,2,Lee2019-MI,EEGNet_8_2
0.607000,3.616237,200.000000,40.000000,2.000000,12,1,62,2,Lee2019-MI,EEGNet_8_2
0.970000,8.793950,200.000000,40.000000,2.000000,3,1,62,2,Lee2019-MI,EEGNet_8_2
0.850500,7.153136,200.000000,40.000000,2.000000,47,1,62,2,Lee2019-MI,EEGNet_8_2
0.657000,4.347021,200.000000,40.000000,2.000000,7,1,62,2,Lee2019-MI,EEGNet_8_2
0.588000,4.923438,200.000000,40.000000,2.000000,26,1,62,2,Lee2019-MI,EEGNet_8_2
0.794500,3.673339,200.000000,40.000000,2.000000,27,1,62,2,Lee2019-MI,EEGNet_8_2
0.623500,4.485195,200.000000,40.000000,2.000000,40,1,62,2,Lee2019-MI,EEGNet_8_2
