score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.684000,16.561598,200.000000,40.000000,2.000000,23,1,62,2,Lee2019-MI,ShallowConvNet
0.948000,47.449875,200.000000,40.000000,2.000000,25,1,62,2,Lee2019-MI,ShallowConvNet
0.837000,29.538008,200.000000,40.000000,2.000000,15,1,62,2,Lee2019-MI,ShallowConvNet
0.778000,22.031181,200.000000,40.000000,2.000000,19,1,62,2,Lee2019-MI,ShallowConvNet
0.941500,40.480370,200.000000,40.000000,2.000000,18,1,62,2,Lee2019-MI,ShallowConvNet
0.557500,15.806913,200.000000,40.000000,2.000000,34,1,62,2,Lee2019-MI,ShallowConvNet
0.552500,16.128468,200.000000,40.000000,2.000000,51,1,62,2,Lee2019-MI,ShallowConvNet
0.977000,46.077114,200.000000,40.000000,2.000000,37,1,62,2,Lee2019-MI,ShallowConvNet
0.994500,55.446209,200.000000,40.000000,2.000000,29,1,62,2,Lee2019-MI,ShallowConvNet
0.554500,16.014303,200.000000,40.000000,2.000000,17,1,62,2,Lee2019-MI,ShallowConvNet
0.545500,17.063786,200.000000,40.000000,2.000000,42,1,62,2,Lee2019-MI,ShallowConvNet
0.734000,22.565542,200.000000,40.000000,2.000000,9,1,62,2,Lee2019-MI,ShallowConvNet
0.998500,50.585136,200.000000,40.000000,2.000000,36,1,62,2,Lee2019-MI,ShallowConvNet
0.864000,16.890001,200.000000,40.000000,2.000000,4,1,62,2,Lee2019-MI,ShallowConvNet
0.550500,15.839648,200.000000,40.000000,2.000000,14,1,62,2,Lee2019-MI,ShallowConvNet
0.923500,51.365646,200.000000,40.000000,2.000000,35,1,62,2,Lee2019-MI,ShallowConvNet
0.617000,23.536940,200.000000,40.000000,2.000000,11,1,62,2,Lee2019-MI,ShallowConvNet
0.965000,21.509823,200.000000,40.000000,2.000000,45,1,62,2,Lee2019-MI,ShallowConvNet
0.753500,25.279512,200.000000,40.000000,2.000000,49,1,62,2,Lee2019-MI,ShallowConvNet
0.688000,18.647181,200.000000,40.000000,2.000000,30,1,62,2,Lee2019-MI,ShallowConvNet
0.662000,18.989229,200.000000,40.000000,2.000000,53,1,62,2,Lee2019-MI,ShallowConvNet
0.999000,41.498066,200.000000,40.000000,2.000000,21,1,62,2,Lee2019-MI,ShallowConvNet
0.519000,16.929150,200.000000,40.000000,2.000000,24,1,62,2,Lee2019-MI,ShallowConvNet
0.754000,19.233938,200.000000,40.000000,2.000000,48,1,62,2,Lee2019-MI,ShallowConvNet
0.750000,26.939323,200.000000,40.000000,2.000000,5,1,62,2,Lee2019-MI,ShallowConvNet
0.958500,42.941872,200.000000,40.000000,2.000000,33,1,62,2,Lee2019-MI,ShallowConvNet
0.651000,16.926622,200.000000,40.000000,2.000000,8,1,62,2,Lee2019-MI,ShallowConvNet
0.777000,24.528910,200.000000,40.000000,2.000000,2,1,62,2,Lee2019-MI,ShallowConvNet
0.632500,21.650648,200.000000,40.000000,2.000000,54,1,62,2,Lee2019-MI,ShallowConvNet
0.650500,16.616600,200.000000,40.000000,2.000000,43,1,62,2,Lee2019-MI,ShallowConvNet
0.617000,19.626581,200.000000,40.000000,2.000000,31,1,62,2,Lee2019-MI,ShallowConvNet
0.993000,52.754925,200.000000,40.000000,2.000000,44,1,62,2,Lee2019-MI,ShallowConvNet
0.695500,18.999372,200.000000,40.000000,2.000000,16,1,62,2,Lee2019-MI,ShallowConvNet
0.451000,16.081818,200.000000,40.000000,2.000000,38,1,62,2,Lee2019-MI,ShallowConvNet
0.569500,16.009743,200.000000,40.000000,2.000000,50,1,62,2,Lee2019-MI,ShallowConvNet
0.785000,40.025677,200.000000,40.000000,2.000000,1,1,62,2,Lee2019-MI,ShallowConvNet
0.943000,31.822323,200.000000,40.000000,2.000000,6,1,62,2,Lee2019-MI,ShallowConvNet
0.698000,20.026392,200.000000,40.000000,2.000000,22,1,62,2,Lee2019-MI,ShallowConvNet
0.704500,21.100368,200.000000,40.000000,2.000000,12,1,62,2,Lee2019-MI,ShallowConvNet
0.962000,36.775982,200.000000,40.000000,2.000000,3,1,62,2,Lee2019-MI,ShallowConvNet
0.782000,19.233168,200.000000,40.000000,2.000000,47,1,62,2,Lee2019-MI,ShallowConvNet
0.633000,15.962234,200.000000,40.000000,2.000000,7,1,62,2,Lee2019-MI,ShallowConvNet
0.630000,16.524866,200.000000,40.000000,2.000000,26,1,62,2,Lee2019-MI,ShallowConvNet
0.837500,17.385412,200.000000,40.000000,2.000000,27,1,62,2,Lee2019-MI,ShallowConvNet
0.720500,21.471407,200.000000,40.000000,2.000000,40,1,62,2,Lee2019-MI,ShallowConvNet
0.985500,52.030308,200.000000,40.000000,2.000000,28,1,62,2,Lee2019-MI,ShallowConvNet
0.563500,16.151514,200.000000,40.000000,2.000000,13,1,62,2,Lee2019-MI,ShallowConvNet
0.778000,30.070637,200.000000,40.000000,2.000000,46,1,62,2,Lee2019-MI,ShallowConvNet
0.988500,27.772984,200.000000,40.000000,2.000000,32,1,62,2,Lee2019-MI,ShallowConvNet
0.715000,19.476797,200.000000,40.000000,2.000000,52,1,62,2,Lee2019-MI,ShallowConvNet
0.737000,21.001150,200.000000,40.000000,2.000000,10,1,62,2,Lee2019-MI,ShallowConvNet
0.517000,16.039970,200.000000,40.000000,2.000000,41,1,62,2,Lee2019-MI,ShallowConvNet
0.644000,28.910152,200.000000,40.000000,2.000000,39,1,62,2,Lee2019-MI,ShallowConvNet
0.618000,15.427201,200.000000,40.000000,2.000000,20,1,62,2,Lee2019-MI,ShallowConvNet
