score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.614500,6.694339,200.000000,40.000000,2.000000,23,1,62,2,Lee2019-MI,DeepConvNet
0.861000,5.585611,200.000000,40.000000,2.000000,25,1,62,2,Lee2019-MI,DeepConvNet
0.795000,10.925904,200.000000,40.000000,2.000000,15,1,62,2,Lee2019-MI,DeepConvNet
0.825000,7.950372,200.000000,40.000000,2.000000,19,1,62,2,Lee2019-MI,DeepConvNet
0.770500,9.220801,200.000000,40.000000,2.000000,18,1,62,2,Lee2019-MI,DeepConvNet
0.498500,5.448462,200.000000,40.000000,2.000000,34,1,62,2,Lee2019-MI,DeepConvNet
0.588500,7.578004,200.000000,40.000000,2.000000,51,1,62,2,Lee2019-MI,DeepConvNet
0.994500,17.474014,200.000000,40.000000,2.000000,37,1,62,2,Lee2019-MI,DeepConvNet
0.996750,7.565667,200.000000,40.000000,2.000000,29,1,62,2,Lee2019-MI,DeepConvNet
0.457000,5.393260,200.000000,40.000000,2.000000,17,1,62,2,Lee2019-MI,DeepConvNet
0.464000,5.800177,200.000000,40.000000,2.000000,42,1,62,2,Lee2019-MI,DeepConvNet
0.722000,5.117405,200.000000,40.000000,2.000000,9,1,62,2,Lee2019-MI,DeepConvNet
0.999000,12.939642,200.000000,40.000000,2.000000,36,1,62,2,Lee2019-MI,DeepConvNet
0.827500,5.516910,200.000000,40.000000,2.000000,4,1,62,2,Lee2019-MI,DeepConvNet
0.497000,5.196125,200.000000,40.000000,2.000000,14,1,62,2,Lee2019-MI,DeepConvNet
0.815500,8.329991,200.000000,40.000000,2.000000,35,1,62,2,Lee2019-MI,DeepConvNet
0.493000,5.722840,200.000000,40.000000,2.000000,11,1,62,2,Lee2019-MI,DeepConvNet
0.971500,11.789123,200.000000,40.000000,2.000000,45,1,62,2,Lee2019-MI,DeepConvNet
0.550000,5.359334,200.000000,40.000000,2.000000,49,1,62,2,Lee2019-MI,DeepConvNet
0.591000,6.037725,200.000000,40.000000,2.000000,30,1,62,2,Lee2019-MI,DeepConvNet
0.606000,7.455660,200.000000,40.000000,2.000000,53,1,62,2,Lee2019-MI,DeepConvNet
0.999500,12.991601,200.000000,40.000000,2.000000,21,1,62,2,Lee2019-MI,DeepConvNet
0.432000,6.670717,200.000000,40.000000,2.000000,24,1,62,2,Lee2019-MI,DeepConvNet
0.552000,5.187961,200.000000,40.000000,2.000000,48,1,62,2,Lee2019-MI,DeepConvNet
0.704000,5.188951,200.000000,40.000000,2.000000,5,1,62,2,Lee2019-MI,DeepConvNet
0.896500,11.170621,200.000000,40.000000,2.000000,33,1,62,2,Lee2019-MI,DeepConvNet
0.560000,5.793428,200.000000,40.000000,2.000000,8,1,62,2,Lee2019-MI,DeepConvNet
0.576500,5.264045,200.000000,40.000000,2.000000,2,1,62,2,Lee2019-MI,DeepConvNet
0.524000,6.267040,200.000000,40.000000,2.000000,54,1,62,2,Lee2019-MI,DeepConvNet
0.520500,5.132599,200.000000,40.000000,2.000000,43,1,62,2,Lee2019-MI,DeepConvNet
0.575500,7.085279,200.000000,40.000000,2.000000,31,1,62,2,Lee2019-MI,DeepConvNet
0.997000,15.175075,200.000000,40.000000,2.000000,44,1,62,2,Lee2019-MI,DeepConvNet
0.688500,7.404535,200.000000,40.000000,2.000000,16,1,62,2,Lee2019-MI,DeepConvNet
0.468000,5.339386,200.000000,40.000000,2.000000,38,1,62,2,Lee2019-MI,DeepConvNet
0.585000,5.731696,200.000000,40.000000,2.000000,50,1,62,2,Lee2019-MI,DeepConvNet
0.739500,7.962401,200.000000,40.000000,2.000000,1,1,62,2,Lee2019-MI,DeepConvNet
0.949500,9.927786,200.000000,40.000000,2.000000,6,1,62,2,Lee2019-MI,DeepConvNet
0.637500,6.571804,200.000000,40.000000,2.000000,22,1,62,2,Lee2019-MI,DeepConvNet
0.638500,6.567938,200.000000,40.000000,2.000000,12,1,62,2,Lee2019-MI,DeepConvNet
0.975500,9.957137,200.000000,40.000000,2.000000,3,1,62,2,Lee2019-MI,DeepConvNet
0.743000,7.680240,200.000000,40.000000,2.000000,47,1,62,2,Lee2019-MI,DeepConvNet
0.629500,5.827440,200.000000,40.000000,2.000000,7,1,62,2,Lee2019-MI,DeepConvNet
0.546000,7.088205,200.000000,40.000000,2.000000,26,1,62,2,Lee2019-MI,DeepConvNet
0.725500,6.102928,200.000000,40.000000,2.000000,27,1,62,2,Lee2019-MI,DeepConvNet
0.579500,5.247335,200.000000,40.000000,2.000000,40,1,62,2,Lee2019-MI,DeepConvNet
0.996500,15.840988,200.000000,40.000000,2.000000,28,1,62,2,Lee2019-MI,DeepConvNet
0.571000,8.120632,200.000000,40.000000,2.000000,13,1,62,2,Lee2019-MI,DeepConvNet
0.630500,5.323271,200.000000,40.000000,2.000000,46,1,62,2,Lee2019-MI,DeepConvNet
0.993000,6.028673,200.000000,40.000000,2.000000,32,1,62,2,Lee2019-MI,DeepConvNet
0.694000,6.732044,200.000000,40.000000,2.000000,52,1,62,2,Lee2019-MI,DeepConvNet
0.657000,8.873824,200.000000,40.000000,2.000000,10,1,62,2,Lee2019-MI,DeepConvNet
0.520500,7.683989,200.000000,40.000000,2.000000,41,1,62,2,Lee2019-MI,DeepConvNet
0.472500,5.677069,200.000000,40.000000,2.000000,39,1,62,2,Lee2019-MI,DeepConvNet
0.504000,5.637543,200.000000,40.000000,2.000000,20,1,62,2,Lee2019-MI,DeepConvNet
