score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.611300,90.365692,9998.000000,200.000000,2.000000,1,1,59,3,Yang2025,TS+EL
0.454300,87.268715,9998.000000,200.000000,2.000000,2,1,59,3,Yang2025,TS+EL
0.576400,84.428268,9998.000000,200.000000,2.000000,3,1,59,3,Yang2025,TS+EL
0.519100,83.727470,9998.000000,200.000000,2.000000,4,1,59,3,Yang2025,TS+EL
0.656400,83.218498,9998.000000,200.000000,2.000000,5,1,59,3,Yang2025,TS+EL
0.718000,82.797302,9998.000000,200.000000,2.000000,6,1,59,3,Yang2025,TS+EL
0.612000,82.009216,9998.000000,200.000000,2.000000,7,1,59,3,Yang2025,TS+EL
0.608100,81.958694,9998.000000,200.000000,2.000000,8,1,59,3,Yang2025,TS+EL
0.497300,82.913147,9998.000000,200.000000,2.000000,9,1,59,3,Yang2025,TS+EL
0.539300,83.086235,9998.000000,200.000000,2.000000,10,1,59,3,Yang2025,TS+EL
0.767300,83.037079,9998.000000,200.000000,2.000000,11,1,59,3,Yang2025,TS+EL
0.458800,84.396614,9998.000000,200.000000,2.000000,12,1,59,3,Yang2025,TS+EL
0.634800,62.735561,9998.000000,200.000000,2.000000,13,1,59,3,Yang2025,TS+EL
0.488300,82.722565,9998.000000,200.000000,2.000000,14,1,59,3,Yang2025,TS+EL
0.550900,86.021721,9998.000000,200.000000,2.000000,15,1,59,3,Yang2025,TS+EL
0.533300,82.508972,9998.000000,200.000000,2.000000,16,1,59,3,Yang2025,TS+EL
0.720200,84.142891,9998.000000,200.000000,2.000000,17,1,59,3,Yang2025,TS+EL
0.475800,86.807625,9998.000000,200.000000,2.000000,18,1,59,3,Yang2025,TS+EL
0.617000,82.186897,9998.000000,200.000000,2.000000,19,1,59,3,Yang2025,TS+EL
0.569300,82.881630,9998.000000,200.000000,2.000000,20,1,59,3,Yang2025,TS+EL
0.531000,82.863106,9998.000000,200.000000,2.000000,21,1,59,3,Yang2025,TS+EL
0.632800,83.684219,9998.000000,200.000000,2.000000,22,1,59,3,Yang2025,TS+EL
0.772600,81.882538,9998.000000,200.000000,2.000000,23,1,59,3,Yang2025,TS+EL
0.688283,86.257011,9999.000000,199.000000,2.000000,24,1,59,3,Yang2025,TS+EL
0.569800,83.162415,9998.000000,200.000000,2.000000,25,1,59,3,Yang2025,TS+EL
0.526800,82.856293,9998.000000,200.000000,2.000000,26,1,59,3,Yang2025,TS+EL
0.520900,83.198112,9998.000000,200.000000,2.000000,27,1,59,3,Yang2025,TS+EL
0.812500,83.182121,9998.000000,200.000000,2.000000,28,1,59,3,Yang2025,TS+EL
0.999700,83.542542,9998.000000,200.000000,2.000000,29,1,59,3,Yang2025,TS+EL
0.594500,85.513992,9998.000000,200.000000,2.000000,30,1,59,3,Yang2025,TS+EL
0.690900,86.080505,9998.000000,200.000000,2.000000,31,1,59,3,Yang2025,TS+EL
0.786364,83.722221,9999.000000,199.000000,2.000000,32,1,59,3,Yang2025,TS+EL
0.857800,81.866425,9998.000000,200.000000,2.000000,33,1,59,3,Yang2025,TS+EL
0.623600,84.926735,9998.000000,200.000000,2.000000,34,1,59,3,Yang2025,TS+EL
0.518300,87.057899,9998.000000,200.000000,2.000000,35,1,59,3,Yang2025,TS+EL
0.586500,84.178200,9998.000000,200.000000,2.000000,36,1,59,3,Yang2025,TS+EL
0.666100,84.765465,9998.000000,200.000000,2.000000,37,1,59,3,Yang2025,TS+EL
0.324200,83.123390,9998.000000,200.000000,2.000000,38,1,59,3,Yang2025,TS+EL
0.692600,83.125259,9998.000000,200.000000,2.000000,39,1,59,3,Yang2025,TS+EL
0.643100,83.243477,9998.000000,200.000000,2.000000,40,1,59,3,Yang2025,TS+EL
0.853600,84.342804,9998.000000,200.000000,2.000000,41,1,59,3,Yang2025,TS+EL
0.538100,86.534500,9998.000000,200.000000,2.000000,42,1,59,3,Yang2025,TS+EL
0.600000,84.251732,9998.000000,200.000000,2.000000,43,1,59,3,Yang2025,TS+EL
0.592200,85.778397,9998.000000,200.000000,2.000000,44,1,59,3,Yang2025,TS+EL
0.655000,85.257469,9998.000000,200.000000,2.000000,45,1,59,3,Yang2025,TS+EL
0.687300,84.748322,9998.000000,200.000000,2.000000,46,1,59,3,Yang2025,TS+EL
0.628100,83.491089,9998.000000,200.000000,2.000000,47,1,59,3,Yang2025,TS+EL
0.557000,84.605354,9998.000000,200.000000,2.000000,48,1,59,3,Yang2025,TS+EL
0.681600,83.306442,9998.000000,200.000000,2.000000,49,1,59,3,Yang2025,TS+EL
0.572900,85.266251,9998.000000,200.000000,2.000000,50,1,59,3,Yang2025,TS+EL
0.552600,86.103363,9998.000000,200.000000,2.000000,51,1,59,3,Yang2025,TS+EL
