score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.878000,246.533936,9998.000000,200.000000,2.000000,1,1,59,3,Yang2025,EEGNet_8_2
0.526300,446.652100,9998.000000,200.000000,2.000000,2,1,59,3,Yang2025,EEGNet_8_2
0.877200,466.862976,9998.000000,200.000000,2.000000,3,1,59,3,Yang2025,EEGNet_8_2
0.538300,253.763306,9998.000000,200.000000,2.000000,4,1,59,3,Yang2025,EEGNet_8_2
0.864300,609.804749,9998.000000,200.000000,2.000000,5,1,59,3,Yang2025,EEGNet_8_2
0.954700,347.477203,9998.000000,200.000000,2.000000,6,1,59,3,Yang2025,EEGNet_8_2
0.853600,625.723389,9998.000000,200.000000,2.000000,7,1,59,3,Yang2025,EEGNet_8_2
0.910700,481.924042,9998.000000,200.000000,2.000000,8,1,59,3,Yang2025,EEGNet_8_2
0.761100,626.866943,9998.000000,200.000000,2.000000,9,1,59,3,Yang2025,EEGNet_8_2
0.665000,435.755341,9998.000000,200.000000,2.000000,10,1,59,3,Yang2025,EEGNet_8_2
0.852500,372.937653,9998.000000,200.000000,2.000000,11,1,59,3,Yang2025,EEGNet_8_2
0.559400,210.938538,9998.000000,200.000000,2.000000,12,1,59,3,Yang2025,EEGNet_8_2
0.438000,450.776581,9998.000000,200.000000,2.000000,13,1,59,3,Yang2025,EEGNet_8_2
0.436600,300.869019,9998.000000,200.000000,2.000000,14,1,59,3,Yang2025,EEGNet_8_2
0.521400,256.862671,9998.000000,200.000000,2.000000,15,1,59,3,Yang2025,EEGNet_8_2
0.482800,300.664062,9998.000000,200.000000,2.000000,16,1,59,3,Yang2025,EEGNet_8_2
0.915500,391.136902,9998.000000,200.000000,2.000000,17,1,59,3,Yang2025,EEGNet_8_2
0.619000,503.030792,9998.000000,200.000000,2.000000,18,1,59,3,Yang2025,EEGNet_8_2
0.973100,279.774963,9998.000000,200.000000,2.000000,19,1,59,3,Yang2025,EEGNet_8_2
0.853300,203.185898,9998.000000,200.000000,2.000000,20,1,59,3,Yang2025,EEGNet_8_2
0.828100,359.499146,9998.000000,200.000000,2.000000,21,1,59,3,Yang2025,EEGNet_8_2
0.855600,231.826035,9998.000000,200.000000,2.000000,22,1,59,3,Yang2025,EEGNet_8_2
0.980500,390.390717,9998.000000,200.000000,2.000000,23,1,59,3,Yang2025,EEGNet_8_2
0.894242,234.514023,9999.000000,199.000000,2.000000,24,1,59,3,Yang2025,EEGNet_8_2
0.737600,246.831650,9998.000000,200.000000,2.000000,25,1,59,3,Yang2025,EEGNet_8_2
0.925600,200.837372,9998.000000,200.000000,2.000000,26,1,59,3,Yang2025,EEGNet_8_2
0.500700,278.070953,9998.000000,200.000000,2.000000,27,1,59,3,Yang2025,EEGNet_8_2
0.855600,462.027008,9998.000000,200.000000,2.000000,28,1,59,3,Yang2025,EEGNet_8_2
0.993800,227.953720,9998.000000,200.000000,2.000000,29,1,59,3,Yang2025,EEGNet_8_2
0.958700,227.922180,9998.000000,200.000000,2.000000,30,1,59,3,Yang2025,EEGNet_8_2
0.666400,465.823303,9998.000000,200.000000,2.000000,31,1,59,3,Yang2025,EEGNet_8_2
0.701010,379.997589,9999.000000,199.000000,2.000000,32,1,59,3,Yang2025,EEGNet_8_2
0.995400,273.796356,9998.000000,200.000000,2.000000,33,1,59,3,Yang2025,EEGNet_8_2
0.591700,294.638306,9998.000000,200.000000,2.000000,34,1,59,3,Yang2025,EEGNet_8_2
0.989900,272.140900,9998.000000,200.000000,2.000000,35,1,59,3,Yang2025,EEGNet_8_2
0.984300,440.859375,9998.000000,200.000000,2.000000,36,1,59,3,Yang2025,EEGNet_8_2
0.889600,237.860748,9998.000000,200.000000,2.000000,37,1,59,3,Yang2025,EEGNet_8_2
0.762500,238.291824,9998.000000,200.000000,2.000000,38,1,59,3,Yang2025,EEGNet_8_2
0.800700,226.098068,9998.000000,200.000000,2.000000,39,1,59,3,Yang2025,EEGNet_8_2
0.851900,233.673080,9998.000000,200.000000,2.000000,40,1,59,3,Yang2025,EEGNet_8_2
0.798200,285.857269,9998.000000,200.000000,2.000000,41,1,59,3,Yang2025,EEGNet_8_2
0.850900,269.486633,9998.000000,200.000000,2.000000,42,1,59,3,Yang2025,EEGNet_8_2
0.998000,236.406647,9998.000000,200.000000,2.000000,43,1,59,3,Yang2025,EEGNet_8_2
0.834500,254.836472,9998.000000,200.000000,2.000000,44,1,59,3,Yang2025,EEGNet_8_2
0.726700,202.639557,9998.000000,200.000000,2.000000,45,1,59,3,Yang2025,EEGNet_8_2
0.996300,214.838394,9998.000000,200.000000,2.000000,46,1,59,3,Yang2025,EEGNet_8_2
0.934800,224.054916,9998.000000,200.000000,2.000000,47,1,59,3,Yang2025,EEGNet_8_2
0.779300,351.101746,9998.000000,200.000000,2.000000,48,1,59,3,Yang2025,EEGNet_8_2
0.956300,626.401367,9998.000000,200.000000,2.000000,49,1,59,3,Yang2025,EEGNet_8_2
0.925100,265.888428,9998.000000,200.000000,2.000000,50,1,59,3,Yang2025,EEGNet_8_2
0.909700,275.830292,9998.000000,200.000000,2.000000,51,1,59,3,Yang2025,EEGNet_8_2
