score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.516100,658.328735,9998.000000,200.000000,2.000000,1,1,59,3,Yang2025,ShallowConvNet
0.576100,649.344604,9998.000000,200.000000,2.000000,2,1,59,3,Yang2025,ShallowConvNet
0.547750,581.780884,9998.000000,200.000000,2.000000,3,1,59,3,Yang2025,ShallowConvNet
0.543500,643.681519,9998.000000,200.000000,2.000000,4,1,59,3,Yang2025,ShallowConvNet
0.576100,623.481018,9998.000000,200.000000,2.000000,5,1,59,3,Yang2025,ShallowConvNet
0.509800,607.104553,9998.000000,200.000000,2.000000,6,1,59,3,Yang2025,ShallowConvNet
0.574450,594.175720,9998.000000,200.000000,2.000000,7,1,59,3,Yang2025,ShallowConvNet
0.510150,601.573547,9998.000000,200.000000,2.000000,8,1,59,3,Yang2025,ShallowConvNet
0.500000,738.704224,9998.000000,200.000000,2.000000,9,1,59,3,Yang2025,ShallowConvNet
0.546000,660.875366,9998.000000,200.000000,2.000000,10,1,59,3,Yang2025,ShallowConvNet
0.592300,594.101624,9998.000000,200.000000,2.000000,11,1,59,3,Yang2025,ShallowConvNet
0.477500,604.222229,9998.000000,200.000000,2.000000,12,1,59,3,Yang2025,ShallowConvNet
0.539900,601.077881,9998.000000,200.000000,2.000000,13,1,59,3,Yang2025,ShallowConvNet
0.496900,583.662720,9998.000000,200.000000,2.000000,14,1,59,3,Yang2025,ShallowConvNet
0.500000,630.044495,9998.000000,200.000000,2.000000,15,1,59,3,Yang2025,ShallowConvNet
0.495200,641.677124,9998.000000,200.000000,2.000000,16,1,59,3,Yang2025,ShallowConvNet
0.561300,624.295288,9998.000000,200.000000,2.000000,17,1,59,3,Yang2025,ShallowConvNet
0.546900,697.441711,9998.000000,200.000000,2.000000,18,1,59,3,Yang2025,ShallowConvNet
0.592900,624.202515,9998.000000,200.000000,2.000000,19,1,59,3,Yang2025,ShallowConvNet
0.518400,623.297607,9998.000000,200.000000,2.000000,20,1,59,3,Yang2025,ShallowConvNet
0.614100,638.568481,9998.000000,200.000000,2.000000,21,1,59,3,Yang2025,ShallowConvNet
0.490800,590.680786,9998.000000,200.000000,2.000000,22,1,59,3,Yang2025,ShallowConvNet
0.500000,582.664612,9998.000000,200.000000,2.000000,23,1,59,3,Yang2025,ShallowConvNet
0.678131,633.545166,9999.000000,199.000000,2.000000,24,1,59,3,Yang2025,ShallowConvNet
0.552300,639.080750,9998.000000,200.000000,2.000000,25,1,59,3,Yang2025,ShallowConvNet
0.505700,625.729187,9998.000000,200.000000,2.000000,26,1,59,3,Yang2025,ShallowConvNet
0.483900,610.252197,9998.000000,200.000000,2.000000,27,1,59,3,Yang2025,ShallowConvNet
0.584400,630.815918,9998.000000,200.000000,2.000000,28,1,59,3,Yang2025,ShallowConvNet
0.595000,578.333984,9998.000000,200.000000,2.000000,29,1,59,3,Yang2025,ShallowConvNet
0.600300,638.423462,9998.000000,200.000000,2.000000,30,1,59,3,Yang2025,ShallowConvNet
0.562900,693.950134,9998.000000,200.000000,2.000000,31,1,59,3,Yang2025,ShallowConvNet
0.500000,639.678467,9999.000000,199.000000,2.000000,32,1,59,3,Yang2025,ShallowConvNet
0.691150,610.718628,9998.000000,200.000000,2.000000,33,1,59,3,Yang2025,ShallowConvNet
0.404900,589.853943,9998.000000,200.000000,2.000000,34,1,59,3,Yang2025,ShallowConvNet
0.913200,590.444397,9998.000000,200.000000,2.000000,35,1,59,3,Yang2025,ShallowConvNet
0.515000,667.641418,9998.000000,200.000000,2.000000,36,1,59,3,Yang2025,ShallowConvNet
0.583300,653.331970,9998.000000,200.000000,2.000000,37,1,59,3,Yang2025,ShallowConvNet
0.454500,605.027954,9998.000000,200.000000,2.000000,38,1,59,3,Yang2025,ShallowConvNet
0.555800,562.748108,9998.000000,200.000000,2.000000,39,1,59,3,Yang2025,ShallowConvNet
0.523250,646.322021,9998.000000,200.000000,2.000000,40,1,59,3,Yang2025,ShallowConvNet
0.500000,623.920837,9998.000000,200.000000,2.000000,41,1,59,3,Yang2025,ShallowConvNet
0.509250,624.223511,9998.000000,200.000000,2.000000,42,1,59,3,Yang2025,ShallowConvNet
0.574100,613.625366,9998.000000,200.000000,2.000000,43,1,59,3,Yang2025,ShallowConvNet
0.611900,648.711792,9998.000000,200.000000,2.000000,44,1,59,3,Yang2025,ShallowConvNet
0.516700,589.563538,9998.000000,200.000000,2.000000,45,1,59,3,Yang2025,ShallowConvNet
0.500000,638.189941,9998.000000,200.000000,2.000000,46,1,59,3,Yang2025,ShallowConvNet
0.522800,602.782471,9998.000000,200.000000,2.000000,47,1,59,3,Yang2025,ShallowConvNet
0.618200,653.071106,9998.000000,200.000000,2.000000,48,1,59,3,Yang2025,ShallowConvNet
0.465000,622.923340,9998.000000,200.000000,2.000000,49,1,59,3,Yang2025,ShallowConvNet
0.499500,623.376831,9998.000000,200.000000,2.000000,50,1,59,3,Yang2025,ShallowConvNet
0.598000,631.668213,9998.000000,200.000000,2.000000,51,1,59,3,Yang2025,ShallowConvNet
