score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.675600,328.171448,9998.000000,200.000000,2.000000,1,1,59,3,Yang2025,DeepConvNet
0.483900,299.932190,9998.000000,200.000000,2.000000,2,1,59,3,Yang2025,DeepConvNet
0.627300,249.761063,9998.000000,200.000000,2.000000,3,1,59,3,Yang2025,DeepConvNet
0.574700,217.315506,9998.000000,200.000000,2.000000,4,1,59,3,Yang2025,DeepConvNet
0.685600,327.926270,9998.000000,200.000000,2.000000,5,1,59,3,Yang2025,DeepConvNet
0.654500,249.739044,9998.000000,200.000000,2.000000,6,1,59,3,Yang2025,DeepConvNet
0.640100,275.322144,9998.000000,200.000000,2.000000,7,1,59,3,Yang2025,DeepConvNet
0.713400,356.754333,9998.000000,200.000000,2.000000,8,1,59,3,Yang2025,DeepConvNet
0.704100,354.680084,9998.000000,200.000000,2.000000,9,1,59,3,Yang2025,DeepConvNet
0.603900,325.754578,9998.000000,200.000000,2.000000,10,1,59,3,Yang2025,DeepConvNet
0.588600,339.955078,9998.000000,200.000000,2.000000,11,1,59,3,Yang2025,DeepConvNet
0.542500,247.436356,9998.000000,200.000000,2.000000,12,1,59,3,Yang2025,DeepConvNet
0.473000,234.372604,9998.000000,200.000000,2.000000,13,1,59,3,Yang2025,DeepConvNet
0.526400,270.014496,9998.000000,200.000000,2.000000,14,1,59,3,Yang2025,DeepConvNet
0.650700,364.723633,9998.000000,200.000000,2.000000,15,1,59,3,Yang2025,DeepConvNet
0.517400,279.696350,9998.000000,200.000000,2.000000,16,1,59,3,Yang2025,DeepConvNet
0.857500,355.030731,9998.000000,200.000000,2.000000,17,1,59,3,Yang2025,DeepConvNet
0.547900,336.051575,9998.000000,200.000000,2.000000,18,1,59,3,Yang2025,DeepConvNet
0.903650,380.974487,9998.000000,200.000000,2.000000,19,1,59,3,Yang2025,DeepConvNet
0.607800,329.784271,9998.000000,200.000000,2.000000,20,1,59,3,Yang2025,DeepConvNet
0.581400,315.969604,9998.000000,200.000000,2.000000,21,1,59,3,Yang2025,DeepConvNet
0.700900,302.436951,9998.000000,200.000000,2.000000,22,1,59,3,Yang2025,DeepConvNet
0.587300,270.332550,9998.000000,200.000000,2.000000,23,1,59,3,Yang2025,DeepConvNet
0.783030,303.589355,9999.000000,199.000000,2.000000,24,1,59,3,Yang2025,DeepConvNet
0.642600,368.232147,9998.000000,200.000000,2.000000,25,1,59,3,Yang2025,DeepConvNet
0.629600,265.176666,9998.000000,200.000000,2.000000,26,1,59,3,Yang2025,DeepConvNet
0.512900,307.396729,9998.000000,200.000000,2.000000,27,1,59,3,Yang2025,DeepConvNet
0.673400,393.137756,9998.000000,200.000000,2.000000,28,1,59,3,Yang2025,DeepConvNet
0.681500,270.010254,9998.000000,200.000000,2.000000,29,1,59,3,Yang2025,DeepConvNet
0.693500,221.015076,9998.000000,200.000000,2.000000,30,1,59,3,Yang2025,DeepConvNet
0.569800,328.837158,9998.000000,200.000000,2.000000,31,1,59,3,Yang2025,DeepConvNet
0.603535,272.709259,9999.000000,199.000000,2.000000,32,1,59,3,Yang2025,DeepConvNet
0.948800,321.159668,9998.000000,200.000000,2.000000,33,1,59,3,Yang2025,DeepConvNet
0.624700,285.167969,9998.000000,200.000000,2.000000,34,1,59,3,Yang2025,DeepConvNet
0.708600,337.491547,9998.000000,200.000000,2.000000,35,1,59,3,Yang2025,DeepConvNet
0.832200,265.024597,9998.000000,200.000000,2.000000,36,1,59,3,Yang2025,DeepConvNet
0.551600,310.795959,9998.000000,200.000000,2.000000,37,1,59,3,Yang2025,DeepConvNet
0.500000,207.058701,9998.000000,200.000000,2.000000,38,1,59,3,Yang2025,DeepConvNet
0.668600,238.438904,9998.000000,200.000000,2.000000,39,1,59,3,Yang2025,DeepConvNet
0.696200,324.611450,9998.000000,200.000000,2.000000,40,1,59,3,Yang2025,DeepConvNet
0.692400,239.635284,9998.000000,200.000000,2.000000,41,1,59,3,Yang2025,DeepConvNet
0.624500,318.192688,9998.000000,200.000000,2.000000,42,1,59,3,Yang2025,DeepConvNet
0.996300,270.624847,9998.000000,200.000000,2.000000,43,1,59,3,Yang2025,DeepConvNet
0.617700,220.429611,9998.000000,200.000000,2.000000,44,1,59,3,Yang2025,DeepConvNet
0.693100,331.800140,9998.000000,200.000000,2.000000,45,1,59,3,Yang2025,DeepConvNet
0.746100,228.576660,9998.000000,200.000000,2.000000,46,1,59,3,Yang2025,DeepConvNet
0.568300,389.305115,9998.000000,200.000000,2.000000,47,1,59,3,Yang2025,DeepConvNet
0.722900,544.999817,9998.000000,200.000000,2.000000,48,1,59,3,Yang2025,DeepConvNet
0.766600,283.444305,9998.000000,200.000000,2.000000,49,1,59,3,Yang2025,DeepConvNet
0.815700,325.885590,9998.000000,200.000000,2.000000,50,1,59,3,Yang2025,DeepConvNet
0.624000,254.980804,9998.000000,200.000000,2.000000,51,1,59,3,Yang2025,DeepConvNet
