score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.742000,0.668117,200.000000,40.000000,2.000000,19,1,59,3,Yang2025,TS+EL
0.613500,1.505391,200.000000,40.000000,2.000000,15,1,59,3,Yang2025,TS+EL
0.488000,1.365626,200.000000,40.000000,2.000000,14,1,59,3,Yang2025,TS+EL
0.742000,0.809900,200.000000,40.000000,2.000000,44,1,59,3,Yang2025,TS+EL
0.652500,0.799469,200.000000,40.000000,2.000000,31,1,59,3,Yang2025,TS+EL
0.834000,0.631716,200.000000,40.000000,2.000000,46,1,59,3,Yang2025,TS+EL
0.497000,1.116860,200.000000,40.000000,2.000000,35,1,59,3,Yang2025,TS+EL
0.594000,0.761496,200.000000,40.000000,2.000000,9,1,59,3,Yang2025,TS+EL
0.650500,0.866079,200.000000,40.000000,2.000000,34,1,59,3,Yang2025,TS+EL
0.621000,1.498732,200.000000,40.000000,2.000000,18,1,59,3,Yang2025,TS+EL
0.610000,1.332788,200.000000,40.000000,2.000000,38,1,59,3,Yang2025,TS+EL
0.854500,0.570551,200.000000,40.000000,2.000000,30,1,59,3,Yang2025,TS+EL
0.751500,0.621676,200.000000,40.000000,2.000000,43,1,59,3,Yang2025,TS+EL
0.722500,0.706181,200.000000,40.000000,2.000000,11,1,59,3,Yang2025,TS+EL
0.998000,0.548396,200.000000,40.000000,2.000000,33,1,59,3,Yang2025,TS+EL
0.525000,1.557966,200.000000,40.000000,2.000000,4,1,59,3,Yang2025,TS+EL
0.977395,0.836534,199.000000,39.000000,2.000000,24,1,59,3,Yang2025,TS+EL
0.953000,0.544179,200.000000,40.000000,2.000000,23,1,59,3,Yang2025,TS+EL
0.656500,1.043637,200.000000,40.000000,2.000000,37,1,59,3,Yang2025,TS+EL
0.682500,2.267795,200.000000,40.000000,2.000000,21,1,59,3,Yang2025,TS+EL
0.894500,1.592737,200.000000,40.000000,2.000000,25,1,59,3,Yang2025,TS+EL
0.976000,0.624373,200.000000,40.000000,2.000000,5,1,59,3,Yang2025,TS+EL
1.000000,0.750161,200.000000,40.000000,2.000000,29,1,59,3,Yang2025,TS+EL
0.639000,1.458021,200.000000,40.000000,2.000000,8,1,59,3,Yang2025,TS+EL
0.549000,1.279382,200.000000,40.000000,2.000000,2,1,59,3,Yang2025,TS+EL
0.679500,0.926801,200.000000,40.000000,2.000000,51,1,59,3,Yang2025,TS+EL
0.604500,1.078550,200.000000,40.000000,2.000000,47,1,59,3,Yang2025,TS+EL
0.596500,0.648436,200.000000,40.000000,2.000000,42,1,59,3,Yang2025,TS+EL
0.480000,0.671330,200.000000,40.000000,2.000000,16,1,59,3,Yang2025,TS+EL
0.902500,1.484872,200.000000,40.000000,2.000000,48,1,59,3,Yang2025,TS+EL
0.883500,0.904874,200.000000,40.000000,2.000000,17,1,59,3,Yang2025,TS+EL
0.689000,0.753855,200.000000,40.000000,2.000000,36,1,59,3,Yang2025,TS+EL
0.663000,0.929447,200.000000,40.000000,2.000000,50,1,59,3,Yang2025,TS+EL
0.620500,1.570581,200.000000,40.000000,2.000000,1,1,59,3,Yang2025,TS+EL
0.961500,1.196101,200.000000,40.000000,2.000000,6,1,59,3,Yang2025,TS+EL
0.755000,1.941797,200.000000,40.000000,2.000000,22,1,59,3,Yang2025,TS+EL
0.511000,0.663245,200.000000,40.000000,2.000000,12,1,59,3,Yang2025,TS+EL
0.778500,1.188555,200.000000,40.000000,2.000000,3,1,59,3,Yang2025,TS+EL
0.768000,1.369383,200.000000,40.000000,2.000000,45,1,59,3,Yang2025,TS+EL
0.732500,1.160920,200.000000,40.000000,2.000000,7,1,59,3,Yang2025,TS+EL
0.668500,0.918664,200.000000,40.000000,2.000000,26,1,59,3,Yang2025,TS+EL
0.838500,1.169564,200.000000,40.000000,2.000000,27,1,59,3,Yang2025,TS+EL
0.718500,0.787935,200.000000,40.000000,2.000000,40,1,59,3,Yang2025,TS+EL
0.937000,0.662203,200.000000,40.000000,2.000000,28,1,59,3,Yang2025,TS+EL
0.667000,2.986737,200.000000,40.000000,2.000000,13,1,59,3,Yang2025,TS+EL
0.908132,0.744503,199.000000,39.000000,2.000000,32,1,59,3,Yang2025,TS+EL
0.880000,0.938736,200.000000,40.000000,2.000000,49,1,59,3,Yang2025,TS+EL
0.580000,1.096767,200.000000,40.000000,2.000000,10,1,59,3,Yang2025,TS+EL
0.996500,0.601568,200.000000,40.000000,2.000000,41,1,59,3,Yang2025,TS+EL
0.567500,0.553209,200.000000,40.000000,2.000000,39,1,59,3,Yang2025,TS+EL
0.651000,1.624700,200.000000,40.000000,2.000000,20,1,59,3,Yang2025,TS+EL
