score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.936500,5.829733,200.000000,40.000000,2.000000,19,1,59,3,Yang2025,EEGNet_8_2
0.709500,3.531868,200.000000,40.000000,2.000000,15,1,59,3,Yang2025,EEGNet_8_2
0.429750,2.376749,200.000000,40.000000,2.000000,14,1,59,3,Yang2025,EEGNet_8_2
0.554500,3.390038,200.000000,40.000000,2.000000,44,1,59,3,Yang2025,EEGNet_8_2
0.559000,3.535124,200.000000,40.000000,2.000000,31,1,59,3,Yang2025,EEGNet_8_2
0.970500,3.537690,200.000000,40.000000,2.000000,46,1,59,3,Yang2025,EEGNet_8_2
0.972500,3.046040,200.000000,40.000000,2.000000,35,1,59,3,Yang2025,EEGNet_8_2
0.477000,3.858535,200.000000,40.000000,2.000000,9,1,59,3,Yang2025,EEGNet_8_2
0.564000,3.526473,200.000000,40.000000,2.000000,34,1,59,3,Yang2025,EEGNet_8_2
0.568000,3.002757,200.000000,40.000000,2.000000,18,1,59,3,Yang2025,EEGNet_8_2
0.617000,3.980151,200.000000,40.000000,2.000000,38,1,59,3,Yang2025,EEGNet_8_2
0.736000,3.618440,200.000000,40.000000,2.000000,30,1,59,3,Yang2025,EEGNet_8_2
0.977000,2.612186,200.000000,40.000000,2.000000,43,1,59,3,Yang2025,EEGNet_8_2
0.507000,3.980353,200.000000,40.000000,2.000000,11,1,59,3,Yang2025,EEGNet_8_2
0.993500,4.480663,200.000000,40.000000,2.000000,33,1,59,3,Yang2025,EEGNet_8_2
0.475500,2.869117,200.000000,40.000000,2.000000,4,1,59,3,Yang2025,EEGNet_8_2
0.818789,3.781266,199.000000,39.000000,2.000000,24,1,59,3,Yang2025,EEGNet_8_2
0.900000,3.008905,200.000000,40.000000,2.000000,23,1,59,3,Yang2025,EEGNet_8_2
0.789000,5.854519,200.000000,40.000000,2.000000,37,1,59,3,Yang2025,EEGNet_8_2
0.681000,3.975262,200.000000,40.000000,2.000000,21,1,59,3,Yang2025,EEGNet_8_2
0.643000,6.590008,200.000000,40.000000,2.000000,25,1,59,3,Yang2025,EEGNet_8_2
0.736500,3.368799,200.000000,40.000000,2.000000,5,1,59,3,Yang2025,EEGNet_8_2
0.995500,3.186940,200.000000,40.000000,2.000000,29,1,59,3,Yang2025,EEGNet_8_2
0.657500,3.707627,200.000000,40.000000,2.000000,8,1,59,3,Yang2025,EEGNet_8_2
0.485000,4.498886,200.000000,40.000000,2.000000,2,1,59,3,Yang2025,EEGNet_8_2
0.601000,3.421344,200.000000,40.000000,2.000000,51,1,59,3,Yang2025,EEGNet_8_2
0.907000,4.515859,200.000000,40.000000,2.000000,47,1,59,3,Yang2025,EEGNet_8_2
0.545000,4.333284,200.000000,40.000000,2.000000,42,1,59,3,Yang2025,EEGNet_8_2
0.501500,4.690910,200.000000,40.000000,2.000000,16,1,59,3,Yang2025,EEGNet_8_2
0.604000,2.901602,200.000000,40.000000,2.000000,48,1,59,3,Yang2025,EEGNet_8_2
0.584000,2.359806,200.000000,40.000000,2.000000,17,1,59,3,Yang2025,EEGNet_8_2
0.874500,2.984550,200.000000,40.000000,2.000000,36,1,59,3,Yang2025,EEGNet_8_2
0.692500,2.388041,200.000000,40.000000,2.000000,50,1,59,3,Yang2025,EEGNet_8_2
0.743500,3.789878,200.000000,40.000000,2.000000,1,1,59,3,Yang2025,EEGNet_8_2
0.884000,3.448108,200.000000,40.000000,2.000000,6,1,59,3,Yang2025,EEGNet_8_2
0.629000,3.301068,200.000000,40.000000,2.000000,22,1,59,3,Yang2025,EEGNet_8_2
0.488500,2.783648,200.000000,40.000000,2.000000,12,1,59,3,Yang2025,EEGNet_8_2
0.794000,2.713368,200.000000,40.000000,2.000000,3,1,59,3,Yang2025,EEGNet_8_2
0.595500,3.860757,200.000000,40.000000,2.000000,45,1,59,3,Yang2025,EEGNet_8_2
0.588000,4.259645,200.000000,40.000000,2.000000,7,1,59,3,Yang2025,EEGNet_8_2
0.736500,2.857691,200.000000,40.000000,2.000000,26,1,59,3,Yang2025,EEGNet_8_2
0.451000,5.106587,200.000000,40.000000,2.000000,27,1,59,3,Yang2025,EEGNet_8_2
0.600500,2.634054,200.000000,40.000000,2.000000,40,1,59,3,Yang2025,EEGNet_8_2
0.524000,3.067660,200.000000,40.000000,2.000000,28,1,59,3,Yang2025,EEGNet_8_2
0.472500,5.120211,200.000000,40.000000,2.000000,13,1,59,3,Yang2025,EEGNet_8_2
0.764789,3.850921,199.000000,39.000000,2.000000,32,1,59,3,Yang2025,EEGNet_8_2
0.641000,3.596719,200.000000,40.000000,2.000000,49,1,59,3,Yang2025,EEGNet_8_2
0.553500,3.526982,200.000000,40.000000,2.000000,10,1,59,3,Yang2025,EEGNet_8_2
0.745000,4.441620,200.000000,40.000000,2.000000,41,1,59,3,Yang2025,EEGNet_8_2
0.564500,3.035903,200.000000,40.000000,2.000000,39,1,59,3,Yang2025,EEGNet_8_2
0.633500,3.470286,200.000000,40.000000,2.000000,20,1,59,3,Yang2025,EEGNet_8_2
