score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.774000,16.260559,200.000000,40.000000,2.000000,19,1,59,3,Yang2025,ShallowConvNet
0.726000,13.806550,200.000000,40.000000,2.000000,15,1,59,3,Yang2025,ShallowConvNet
0.495500,10.402512,200.000000,40.000000,2.000000,14,1,59,3,Yang2025,ShallowConvNet
0.567500,9.618845,200.000000,40.000000,2.000000,44,1,59,3,Yang2025,ShallowConvNet
0.564500,9.932528,200.000000,40.000000,2.000000,31,1,59,3,Yang2025,ShallowConvNet
0.860500,16.590004,200.000000,40.000000,2.000000,46,1,59,3,Yang2025,ShallowConvNet
0.886500,20.615646,200.000000,40.000000,2.000000,35,1,59,3,Yang2025,ShallowConvNet
0.529500,9.793421,200.000000,40.000000,2.000000,9,1,59,3,Yang2025,ShallowConvNet
0.629500,14.533724,200.000000,40.000000,2.000000,34,1,59,3,Yang2025,ShallowConvNet
0.503500,9.852495,200.000000,40.000000,2.000000,18,1,59,3,Yang2025,ShallowConvNet
0.519500,11.076099,200.000000,40.000000,2.000000,38,1,59,3,Yang2025,ShallowConvNet
0.815000,10.527804,200.000000,40.000000,2.000000,30,1,59,3,Yang2025,ShallowConvNet
0.961500,27.335840,200.000000,40.000000,2.000000,43,1,59,3,Yang2025,ShallowConvNet
0.538500,9.282679,200.000000,40.000000,2.000000,11,1,59,3,Yang2025,ShallowConvNet
0.993500,29.166584,200.000000,40.000000,2.000000,33,1,59,3,Yang2025,ShallowConvNet
0.509000,11.376833,200.000000,40.000000,2.000000,4,1,59,3,Yang2025,ShallowConvNet
0.938842,24.805632,199.000000,39.000000,2.000000,24,1,59,3,Yang2025,ShallowConvNet
0.959000,26.108685,200.000000,40.000000,2.000000,23,1,59,3,Yang2025,ShallowConvNet
0.775000,13.135802,200.000000,40.000000,2.000000,37,1,59,3,Yang2025,ShallowConvNet
0.728000,24.952541,200.000000,40.000000,2.000000,21,1,59,3,Yang2025,ShallowConvNet
0.670000,11.972528,200.000000,40.000000,2.000000,25,1,59,3,Yang2025,ShallowConvNet
0.819500,21.437542,200.000000,40.000000,2.000000,5,1,59,3,Yang2025,ShallowConvNet
0.998500,28.014059,200.000000,40.000000,2.000000,29,1,59,3,Yang2025,ShallowConvNet
0.735000,18.428965,200.000000,40.000000,2.000000,8,1,59,3,Yang2025,ShallowConvNet
0.531000,9.396904,200.000000,40.000000,2.000000,2,1,59,3,Yang2025,ShallowConvNet
0.746500,13.676554,200.000000,40.000000,2.000000,51,1,59,3,Yang2025,ShallowConvNet
0.671000,8.505407,200.000000,40.000000,2.000000,47,1,59,3,Yang2025,ShallowConvNet
0.625500,12.895494,200.000000,40.000000,2.000000,42,1,59,3,Yang2025,ShallowConvNet
0.509000,10.083257,200.000000,40.000000,2.000000,16,1,59,3,Yang2025,ShallowConvNet
0.820500,12.403504,200.000000,40.000000,2.000000,48,1,59,3,Yang2025,ShallowConvNet
0.556500,12.280925,200.000000,40.000000,2.000000,17,1,59,3,Yang2025,ShallowConvNet
0.862500,26.273441,200.000000,40.000000,2.000000,36,1,59,3,Yang2025,ShallowConvNet
0.887500,18.704046,200.000000,40.000000,2.000000,50,1,59,3,Yang2025,ShallowConvNet
0.593000,9.870232,200.000000,40.000000,2.000000,1,1,59,3,Yang2025,ShallowConvNet
0.835000,18.806179,200.000000,40.000000,2.000000,6,1,59,3,Yang2025,ShallowConvNet
0.740000,15.544847,200.000000,40.000000,2.000000,22,1,59,3,Yang2025,ShallowConvNet
0.416500,9.875197,200.000000,40.000000,2.000000,12,1,59,3,Yang2025,ShallowConvNet
0.634000,10.420975,200.000000,40.000000,2.000000,3,1,59,3,Yang2025,ShallowConvNet
0.599000,9.828912,200.000000,40.000000,2.000000,45,1,59,3,Yang2025,ShallowConvNet
0.663500,13.595864,200.000000,40.000000,2.000000,7,1,59,3,Yang2025,ShallowConvNet
0.679000,13.947806,200.000000,40.000000,2.000000,26,1,59,3,Yang2025,ShallowConvNet
0.570000,12.060621,200.000000,40.000000,2.000000,27,1,59,3,Yang2025,ShallowConvNet
0.619000,10.771809,200.000000,40.000000,2.000000,40,1,59,3,Yang2025,ShallowConvNet
0.705500,10.942152,200.000000,40.000000,2.000000,28,1,59,3,Yang2025,ShallowConvNet
0.625500,11.134405,200.000000,40.000000,2.000000,13,1,59,3,Yang2025,ShallowConvNet
0.728289,10.819053,199.000000,39.000000,2.000000,32,1,59,3,Yang2025,ShallowConvNet
0.737000,16.351437,200.000000,40.000000,2.000000,49,1,59,3,Yang2025,ShallowConvNet
0.559500,9.110909,200.000000,40.000000,2.000000,10,1,59,3,Yang2025,ShallowConvNet
0.717000,14.475807,200.000000,40.000000,2.000000,41,1,59,3,Yang2025,ShallowConvNet
0.600500,10.363914,200.000000,40.000000,2.000000,39,1,59,3,Yang2025,ShallowConvNet
0.439500,9.049620,200.000000,40.000000,2.000000,20,1,59,3,Yang2025,ShallowConvNet
