score,time,samples,samples_test,n_classes,subject,session,channels,n_sessions,dataset,pipeline
0.642000,4.245901,200.000000,40.000000,2.000000,19,1,59,3,Yang2025,DeepConvNet
0.790500,4.612434,200.000000,40.000000,2.000000,15,1,59,3,Yang2025,DeepConvNet
0.468000,3.181161,200.000000,40.000000,2.000000,14,1,59,3,Yang2025,DeepConvNet
0.656500,3.899878,200.000000,40.000000,2.000000,44,1,59,3,Yang2025,DeepConvNet
0.557500,3.272061,200.000000,40.000000,2.000000,31,1,59,3,Yang2025,DeepConvNet
0.895000,6.780567,200.000000,40.000000,2.000000,46,1,59,3,Yang2025,DeepConvNet
0.880000,6.157557,200.000000,40.000000,2.000000,35,1,59,3,Yang2025,DeepConvNet
0.532000,4.151891,200.000000,40.000000,2.000000,9,1,59,3,Yang2025,DeepConvNet
0.709000,5.210018,200.000000,40.000000,2.000000,34,1,59,3,Yang2025,DeepConvNet
0.525000,5.092528,200.000000,40.000000,2.000000,18,1,59,3,Yang2025,DeepConvNet
0.533500,5.179248,200.000000,40.000000,2.000000,38,1,59,3,Yang2025,DeepConvNet
0.785500,3.308466,200.000000,40.000000,2.000000,30,1,59,3,Yang2025,DeepConvNet
0.924500,7.436518,200.000000,40.000000,2.000000,43,1,59,3,Yang2025,DeepConvNet
0.570000,4.699941,200.000000,40.000000,2.000000,11,1,59,3,Yang2025,DeepConvNet
0.978750,8.505634,200.000000,40.000000,2.000000,33,1,59,3,Yang2025,DeepConvNet
0.544500,3.394153,200.000000,40.000000,2.000000,4,1,59,3,Yang2025,DeepConvNet
0.970921,9.817846,199.000000,39.000000,2.000000,24,1,59,3,Yang2025,DeepConvNet
0.906500,5.822278,200.000000,40.000000,2.000000,23,1,59,3,Yang2025,DeepConvNet
0.870500,6.229055,200.000000,40.000000,2.000000,37,1,59,3,Yang2025,DeepConvNet
0.630500,4.166712,200.000000,40.000000,2.000000,21,1,59,3,Yang2025,DeepConvNet
0.555000,2.936760,200.000000,40.000000,2.000000,25,1,59,3,Yang2025,DeepConvNet
0.792500,6.745911,200.000000,40.000000,2.000000,5,1,59,3,Yang2025,DeepConvNet
0.969500,8.009380,200.000000,40.000000,2.000000,29,1,59,3,Yang2025,DeepConvNet
0.690500,5.417740,200.000000,40.000000,2.000000,8,1,59,3,Yang2025,DeepConvNet
0.495500,3.552733,200.000000,40.000000,2.000000,2,1,59,3,Yang2025,DeepConvNet
0.691500,3.624711,200.000000,40.000000,2.000000,51,1,59,3,Yang2025,DeepConvNet
0.736500,3.558171,200.000000,40.000000,2.000000,47,1,59,3,Yang2025,DeepConvNet
0.646000,4.162111,200.000000,40.000000,2.000000,42,1,59,3,Yang2025,DeepConvNet
0.524000,3.561836,200.000000,40.000000,2.000000,16,1,59,3,Yang2025,DeepConvNet
0.796750,5.461948,200.000000,40.000000,2.000000,48,1,59,3,Yang2025,DeepConvNet
0.591500,3.024232,200.000000,40.000000,2.000000,17,1,59,3,Yang2025,DeepConvNet
0.827000,6.358004,200.000000,40.000000,2.000000,36,1,59,3,Yang2025,DeepConvNet
0.868000,4.456330,200.000000,40.000000,2.000000,50,1,59,3,Yang2025,DeepConvNet
0.687000,3.205968,200.000000,40.000000,2.000000,1,1,59,3,Yang2025,DeepConvNet
0.917000,5.824547,200.000000,40.000000,2.000000,6,1,59,3,Yang2025,DeepConvNet
0.683000,4.081507,200.000000,40.000000,2.000000,22,1,59,3,Yang2025,DeepConvNet
0.449250,3.599155,200.000000,40.000000,2.000000,12,1,59,3,Yang2025,DeepConvNet
0.555500,4.418304,200.000000,40.000000,2.000000,3,1,59,3,Yang2025,DeepConvNet
0.576500,4.054392,200.000000,40.000000,2.000000,45,1,59,3,Yang2025,DeepConvNet
0.633000,4.897308,200.000000,40.000000,2.000000,7,1,59,3,Yang2025,DeepConvNet
0.648000,4.298576,200.000000,40.000000,2.000000,26,1,59,3,Yang2025,DeepConvNet
0.563250,5.002815,200.000000,40.000000,2.000000,27,1,59,3,Yang2025,DeepConvNet
0.554000,3.112284,200.000000,40.000000,2.000000,40,1,59,3,Yang2025,DeepConvNet
0.516500,3.542735,200.000000,40.000000,2.000000,28,1,59,3,Yang2025,DeepConvNet
0.448500,4.079564,200.000000,40.000000,2.000000,13,1,59,3,Yang2025,DeepConvNet
0.626684,3.191665,199.000000,39.000000,2.000000,32,1,59,3,Yang2025,DeepConvNet
0.604500,3.990481,200.000000,40.000000,2.000000,49,1,59,3,Yang2025,DeepConvNet
0.569000,3.452227,200.000000,40.000000,2.000000,10,1,59,3,Yang2025,DeepConvNet
0.675750,4.633227,200.000000,40.000000,2.000000,41,1,59,3,Yang2025,DeepConvNet
0.571500,3.929359,200.000000,40.000000,2.000000,39,1,59,3,Yang2025,DeepConvNet
0.434000,2.935302,200.000000,40.000000,2.000000,20,1,59,3,Yang2025,DeepConvNet
